Nome: BOA VISTA
Codigo Estacao: 82024
Latitude: 2.82944443
Longitude: -60.66194444
Altitude: 84.18
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;34.6;27.4;23.5;68.8;57;1.3;
2020-01-02;0;34.1;27.4;22.9;64.3;58;2.3;
2020-01-03;0;34.1;27.6;22.9;64.8;52;2.3;
2020-01-04;0;35.6;28.2;22.3;64;43;3;
2020-01-05;0;34.6;28.4;23.7;64.5;50;1.7;
2020-01-06;0;35.1;28.6;24.4;60.5;45;2;
2020-01-07;0;35.5;28.3;22.8;65;50;2;
2020-01-08;0;35.7;29.5;25.6;62;49;2.7;
2020-01-09;0;35;28.6;25.2;67.3;49;1.3;
2020-01-10;0;34.3;28.2;25;65;51;3;
2020-01-11;0;34.2;27.8;23.6;65.3;51;2.3;
2020-01-12;0;34.4;27.6;23;62.5;46;2;
2020-01-13;0;34.7;28.3;23.9;61;46;1.7;
2020-01-14;0;36.6;29.5;25.4;69;53;0;
2020-01-15;0;35.6;28.9;24.8;68.5;52;1;
2020-01-16;4.8;30.1;25.9;23.6;88.3;69;0;
2020-01-17;.4;35.1;27.9;22.8;75.8;53;1.7;
2020-01-18;0;34.5;28.8;25.1;66.3;52;1.3;
2020-01-19;0;34.7;28.6;25.4;69;52;2;
2020-01-20;0;36;29.2;25.2;62.5;45;2;
2020-01-21;0;35.1;29.1;26;65.3;50;1.3;
2020-01-22;0;37.1;29.3;24.8;62.5;47;1.3;
2020-01-23;0;36.6;29.2;24;65;49;1.3;
2020-01-24;0;37;29.4;25;63.8;47;1.3;
2020-01-25;0;37;29.1;24;65.3;45;1;
2020-01-26;0;37;29.2;25.2;70;50;1.3;
2020-01-27;0;36.6;30;25.9;63.3;49;2;
2020-01-28;0;36.1;29.7;25.9;66.3;52;2.7;
2020-01-29;0;36.1;29.3;25.3;66;42;2.7;
2020-01-30;0;36.1;29.1;25.1;64.3;49;1.7;
2020-01-31;0;35.1;28.4;25.3;72;55;1.7;
2020-02-01;0;34.1;28.7;24.7;63.5;48;2.7;
2020-02-02;0;34.1;27.8;23.5;63.5;45;1.7;
2020-02-03;0;36.6;28.6;23;60.3;41;1.3;
2020-02-04;0;35.3;28.6;24.5;60.8;46;1.7;
2020-02-05;0;35.5;28.6;24.6;61;42;2.7;
2020-02-06;0;34.6;28.2;24.8;62;40;3.3;
2020-02-07;0;34.6;27.9;24.3;57.8;42;1.7;
2020-02-08;0;35.5;27.9;24.4;58;41;1.7;
2020-02-09;0;35.7;28.3;24.6;60;42;1.7;
2020-02-10;0;35.6;29.2;24.3;60.5;53;2.3;
2020-02-11;0;36.6;29.4;23.9;61;37;2;
2020-02-12;0;31.5;28.1;23.7;72;67;1.7;
2020-02-13;3.4;34.6;28.8;23.9;61.5;47;2.3;
2020-02-14;0;35.1;28.5;24.3;63.8;47;3.3;
2020-02-15;0;34.6;28.6;24.7;62;47;2.7;
2020-02-16;0;35.6;28.9;24;63;40;2;
2020-02-17;0;35.4;29.7;26;61.8;54;1.3;
2020-02-18;0;35.6;29.3;25.7;60.3;45;2.7;
2020-02-19;0;35.6;29.3;25;57;41;1.7;
2020-02-20;0;35.6;28.8;24.6;55.5;40;2.7;
2020-02-21;0;36.1;29;24;59.5;47;1.7;
2020-02-22;0;38.2;30.5;24.4;56;40;2.3;
2020-02-23;0;38;30.5;25.4;60.3;44;1;
2020-02-24;0;34.1;29.7;26.7;64;56;2.7;
2020-02-25;0;36.5;30.2;26.7;62.8;47;2;
2020-02-26;0;36.6;29.4;25.1;59.3;43;2.7;
2020-02-27;0;35.6;29.2;24.7;57.8;43;2;
2020-02-28;0;36.6;29.8;24.7;54.8;41;1.7;
