Nome: MACAPA
Codigo Estacao: 82098
Latitude: -0.04499999
Longitude: -51.11
Altitude: 12.8
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;14.5;30.6;26;23.3;86.8;73;1;
2020-01-02;15.7;30.4;26.3;24.1;82.8;64;1.4;
2020-01-03;4.7;31.1;26.5;24;85.5;73;.3;
2020-01-04;8.9;30.8;26.1;24.5;93.8;86;2.4;
2020-01-05;27.6;31;26.2;23.2;87.8;77;.3;
2020-01-06;6.9;31.5;26.7;23.7;80.5;64;1;
2020-01-07;0;31.5;26.4;24.7;86.8;70;0;
2020-01-08;17;29.6;27.1;24.5;78.8;73;2.6;
2020-01-09;2.8;31.5;26.2;23.6;88.8;76;1;
2020-01-10;.5;31.8;26.5;23.1;80;62;1.7;
2020-01-11;0;32.3;27.2;23.3;75.3;59;1.5;
2020-01-12;1.7;28.4;26.1;24.5;89.3;80;0;
2020-01-13;1;30.4;26.6;23.6;81;67;.7;
2020-01-14;7.5;32.4;27.3;24.1;80.8;62;1.2;
2020-01-15;5.6;30.9;26.7;25.1;86.5;71;1;
2020-01-16;10.8;31.8;27.8;24.9;77.5;68;.7;
2020-01-17;0;32.6;28.2;24.6;78.5;65;1.5;
2020-01-18;.3;31.8;27.1;25.2;85.8;66;.9;
2020-01-19;27.5;32.7;27.4;25;85.5;76;.9;
2020-01-20;30.4;28.8;25.8;23.7;89;82;.5;
2020-01-21;.3;30.5;26.3;24;86.5;79;1;
2020-01-22;3.9;31.5;26.5;23.7;85.5;58;1.7;
2020-01-23;0;31.5;27.2;22.3;80;67;.5;
2020-01-24;0;29.7;26.5;23.3;88.8;84;1;
2020-01-25;1.9;33.2;28.5;24.9;79.8;60;.7;
2020-01-26;26.5;30.2;26.1;24.7;92.5;85;1.4;
2020-01-27;27.6;28.1;25.2;23.2;91.8;89;0;
2020-01-28;6.7;32.8;27.7;23.1;80.8;65;1.7;
2020-01-29;.6;32.6;27.5;27;87.5;75;.7;
2020-01-30;3.8;31.8;27.4;24.1;83.8;68;.3;
2020-01-31;18.8;28.6;25.9;24.1;89;86;.7;
2020-02-01;14.2;31.3;27.5;24;73.3;63;1.3;
2020-02-02;0;31;26.5;23.7;82.5;72;.7;
2020-02-03;.2;31.8;27;23.5;81.8;73;.6;
2020-02-04;3.5;29;26;23.8;90.5;85;.6;
2020-02-05;1.6;32.3;26.9;23.3;72.8;61;2.2;
2020-02-06;.2;32.4;27.3;23.4;71;58;1.3;
2020-02-07;0;29.9;25.9;24.5;87;71;1.9;
2020-02-08;36;29.7;25;22.8;92.3;91;.7;
2020-02-09;30.8;29.3;25.7;23.2;86.8;76;1.6;
2020-02-10;7.5;31;26.7;23.2;83.5;70;1;
2020-02-11;8.8;30.3;26.7;25.1;87.3;75;1.9;
2020-02-12;26.2;29.1;25.8;24.5;92.3;81;.7;
2020-02-13;.7;31.4;27.1;24.9;86.5;70;1;
