Nome: BELEM
Codigo Estacao: 82191
Latitude: -1.43583333
Longitude: -48.43722221
Altitude: 7.13
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;3.6;30.5;25.4;22.6;95.5;91;0;
2020-01-02;13.6;31.5;25.7;23.2;92;76;0;
2020-01-03;11.6;32.1;26;23.3;97;95;0;
2020-01-04;9.8;32.2;26.4;23.6;93.3;78;.3;
2020-01-05;6;30.7;26;23.7;92.8;81;.7;
2020-01-06;11.2;28.8;24.9;23.3;94.5;92;0;
2020-01-07;4.5;32.3;26;22.5;94;85;1.1;
2020-01-08;.3;30.7;25.9;23.3;90.8;80;1.1;
2020-01-09;15.8;33;27.1;23.2;86.5;75;.2;
2020-01-10;.8;32.5;27.2;23.1;84.8;78;1;
2020-01-11;3.2;30.7;25.7;23.5;89.5;82;1.2;
2020-01-12;22;32.3;25.7;22.6;88.8;70;.5;
2020-01-13;22.6;31.9;26.8;22.6;91.3;86;.1;
2020-01-14;3.4;31.4;25.8;22.1;94.8;90;0;
2020-01-15;12.4;32.4;26.4;22.4;90.5;78;.5;
2020-01-16;1.2;33.5;27;23.4;89;76;.5;
2020-01-17;18.8;33.9;27.2;23.3;94.3;86;.5;
2020-01-18;11.8;32.5;27.2;23.8;90.5;89;.2;
2020-01-19;2;30.5;25.6;23;90.5;81;0;
2020-01-20;36.4;30.9;26.5;22.9;87.8;78;1.1;
2020-01-21;7;30.2;25.8;23.6;89;71;1.1;
2020-01-22;0;30.4;26.5;24;92;86;.9;
2020-01-23;6.8;31.7;26.7;23.1;91.8;90;0;
2020-01-24;2.5;33.9;27.7;23.8;86.8;79;.3;
2020-01-25;36.8;31.9;27;23.6;94.8;91;0;
2020-01-26;5.9;33.9;26.9;23.4;89.3;75;1;
2020-01-27;13;29.6;25.9;23.5;91.5;80;0;
2020-01-28;2.2;32.9;26.4;23.5;93.8;92;.9;
2020-01-29;59;34.4;26.3;23;88.8;68;.2;
2020-01-30;7.6;34.3;26.4;23.1;89;77;1.1;
2020-01-31;34.2;30.9;25.8;23.1;91.8;80;.7;
2020-02-01;0;32.8;26.6;23.9;92.8;87;.3;
2020-02-02;18.6;33.7;27.3;23.6;88.8;81;1.9;
2020-02-03;19.7;33.4;27.3;23.5;93.3;86;1.2;
2020-02-04;2.6;29.7;25.7;23.3;93;83;1.2;
2020-02-05;4.3;31.7;25.3;22.9;92.8;86;0;
2020-02-06;27.8;31.5;25.8;22.7;91.5;84;1.5;
2020-02-07;10.6;29.8;25.2;23.5;94.3;86;.4;
2020-02-08;77.4;29.3;24.7;23;96.8;93;0;
2020-02-09;2.8;32.7;26.5;23.2;95.3;91;0;
2020-02-10;12.5;31.3;26.8;24.1;92.3;80;.7;
2020-02-11;13.3;32.8;26.3;23.4;89.3;73;.5;
2020-02-12;19.6;32.1;26.5;23.4;96.3;90;.5;
2020-02-13;12.7;33.2;27.8;23.7;86;83;1.2;
2020-02-14;1.5;31.1;26.4;23.5;92;86;.5;
2020-02-15;6.8;34;26.4;23.8;92.8;78;.7;
2020-02-16;16.5;30.3;26;22.8;92.3;87;.4;
2020-02-17;14.9;32;26.4;23.4;95.3;87;.7;
2020-02-18;94.2;32.6;26.3;23.2;97;95;1;
2020-02-19;43.5;32.5;26.1;23;95.5;90;.6;
2020-02-20;41.4;25.9;24.6;23.7;96.8;96;0;
2020-02-21;9.6;30.5;25.8;23;89.5;79;.7;
2020-02-22;4;31.3;26.8;23.8;91;77;.1;
2020-02-23;.2;33.5;27.8;24.1;80.3;59;1.4;
2020-02-24;0;34.6;27.7;23.7;85.8;70;1.2;
2020-02-25;2;31.9;26.9;23.7;95.8;89;.2;
2020-02-26;55.5;29.5;26.1;23.9;94.8;88;.3;
2020-02-27;34.8;30.7;26.1;22.6;87.8;80;0;
2020-02-28;1.7;31.1;25.5;23;95.8;90;.5;
2020-02-29;40.8;30.2;25.8;22.4;90.3;78;0;
2020-03-01;.8;33.3;27;23.2;87;67;1;
2020-03-02;.4;33.4;27;23.5;92.8;86;1;
2020-03-03;30.4;31.1;26.2;23.5;96;92;.5;
2020-03-04;51.6;31;25.9;22.1;87.3;78;.2;
2020-03-05;0;34.6;27.9;23.5;80;67;1;
2020-03-06;0;31.3;27;23.7;90;81;1.7;
2020-03-07;60.5;26.3;24.5;23.8;98.8;97;.1;
2020-03-08;88.8;31.6;26;23.4;97;95;.3;
2020-03-09;195.6;29;25;22.8;94.3;79;.1;
2020-03-10;9.8;27.9;25.2;23.3;97.5;97;0;
2020-03-11;7.4;28.7;25.2;22.9;98.5;96;0;
2020-03-12;124;28.8;24.7;23.1;99.3;98;0;
2020-03-13;24.8;32.8;26.9;23;88.5;72;.7;
2020-03-14;6.5;30.7;26.1;24.5;96.5;93;0;
2020-03-15;53.1;27.3;24.7;23.4;97.8;95;0;
2020-03-16;67.7;31.8;25.8;22;91.5;70;1;
2020-03-17;12.8;33.6;27;23;83.3;68;.3;
2020-03-18;0;33.6;27.6;23.6;86.3;80;.3;
2020-03-19;2.4;32.5;26.7;23.9;94.5;90;1.1;
2020-03-20;8.8;32.4;26.6;23.6;87.8;70;.7;
2020-03-21;12.6;27.7;25.4;23.8;96;92;0;
2020-03-22;5;32.5;26.7;24.1;86;66;.3;
2020-03-23;0;32.4;27.4;23.6;90.8;83;0;
2020-03-24;55.8;33.4;27.8;24.3;90;80;1;
2020-03-25;50.8;32.8;27.6;24.2;85.8;75;.4;
2020-03-26;0;34.2;27.5;24.8;83.5;59;0;
2020-03-27;2.8;34.7;27.4;24.4;90.8;81;1;
2020-03-28;11.6;33.5;27.5;24.3;88.8;78;1.1;
2020-03-29;4;33.9;27.7;24.4;93.3;88;.7;
2020-03-30;29.8;32.4;27.1;24.5;91.3;86;.5;
2020-03-31;16.2;33.9;26.7;23.7;90.3;70;0;
2020-04-01;41.8;31.5;27;24.1;93.8;85;.3;
2020-04-02;14;32.1;27.6;24.6;89.8;85;.7;
2020-04-03;.8;31.7;27.3;24.5;89.8;84;.4;
2020-04-04;20.7;33.7;27.6;24.5;91.5;86;.2;
2020-04-05;8.4;34;27.5;24.9;87;70;.8;
2020-04-06;25.8;33.8;27.5;24.6;93;88;0;
2020-04-07;9;34.8;27.6;24.6;90.8;78;.9;
2020-04-08;28;31.2;26.9;24.8;93.8;88;0;
2020-04-09;64.6;34;27.6;24.2;86.5;75;1.1;
2020-04-10;5.8;31.9;26.9;24.8;89;76;.6;
2020-04-11;4;34.2;27.2;24.1;92.3;85;.3;
2020-04-12;46.1;30.9;26.2;23.9;94;88;.3;
2020-04-13;12.9;33.4;27.2;24;83.3;66;.9;
2020-04-14;69.2;26.7;24.2;23.3;98.8;92;0;
2020-04-15;28.6;29.6;25.7;23;97.3;93;0;
2020-04-16;.5;34.4;27.6;24.2;86.8;68;.3;
2020-04-17;85;27.3;24.6;23.1;96.3;92;0;
2020-04-18;5.6;33.3;26.7;23.1;94;90;0;
2020-04-19;4.9;33.5;27.2;24;89.8;77;.2;
2020-04-20;32.4;32.6;27.2;23.3;86;74;.2;
2020-04-21;.2;32.7;27.5;24.4;84.8;71;.7;
2020-04-22;3.2;32.6;27.2;24;88.3;69;.4;
2020-04-23;13.2;33.5;27.6;24.4;86.5;68;.5;
2020-04-24;0;31.4;26.4;24.3;88.8;73;.6;
2020-04-25;15.8;33.5;27.4;23.9;89.3;73;0;
2020-04-26;23;32.5;26.9;24.8;90;79;.2;
2020-04-27;0;32.6;27.1;24.3;88;76;.1;
2020-04-28;0;33;27.6;23.8;84;66;.3;
2020-04-29;5.9;32.8;27.3;23.7;92.5;80;.1;
2020-04-30;.4;31.9;26.6;23.9;94.3;85;1.1;
2020-05-01;21.3;34.3;27.2;23.7;87.8;71;.7;
2020-05-02;54.4;34;27.6;24.2;81.5;62;1;
2020-05-03;1.1;33.1;27.6;24.5;91;83;.5;
2020-05-04;1.5;35.1;27.5;23.1;89.3;75;.7;
2020-05-05;53.7;31.9;27;23.7;87.3;77;0;
2020-05-06;.3;35.1;27.4;23.6;85.5;66;.7;
2020-05-07;14.6;34.4;27.2;23.7;90.5;78;0;
2020-05-08;6.4;34.3;28.4;24.1;85.5;73;.3;
2020-05-09;31.9;33.4;27.3;24.5;88;68;.2;
2020-05-10;7.2;33.3;27.6;24.8;91;83;0;
2020-05-11;26;33.1;26.8;23.9;94;84;0;
2020-05-12;13;34.5;27.1;23.2;84;61;.1;
2020-05-13;16.6;34.5;28.4;24.1;80;63;.9;
2020-05-14;4.2;35.2;28.8;24.5;79;64;.3;
2020-05-15;2.4;33.4;27.4;23.8;85.8;74;.4;
2020-05-16;3;33.4;26.7;23.1;93;82;.9;
2020-05-17;5;33.8;27.4;23.9;82.5;62;0;
2020-05-18;1;34.7;28.4;24.1;77.5;56;.9;
2020-05-19;0;34.9;27.4;23.7;85.3;59;.9;
2020-05-20;39.4;34.9;27.7;23.6;84.5;60;.6;
2020-05-21;54.7;32.5;26.6;23.6;88.5;76;.5;
2020-05-22;.4;31.9;27;24.1;92.3;85;.4;
2020-05-23;10.5;33.7;26.8;23.6;87.8;67;.7;
2020-05-24;8;34.3;27.5;23.4;85.8;65;.4;
2020-05-25;15;34.7;28.1;24;78.3;56;.6;
2020-05-26;0;34.8;27.8;24.4;82.8;58;.5;
2020-05-27;2.6;35.1;28.9;23.1;75.5;58;1;
2020-05-28;0;34.4;28;23.5;80.3;55;1.1;
2020-05-29;0;34.1;27.4;23.4;86.3;74;1.5;
2020-05-30;0;33.3;26.5;23.2;94;86;.5;
2020-05-31;54.4;32.6;27;23.4;87.8;79;.2;
2020-06-01;8;33.6;26.3;23.2;90.5;69;0;
2020-06-02;23;33.2;27.2;23.8;87.5;74;.4;
2020-06-03;13.2;33.7;27.8;23.5;77.5;57;1.5;
2020-06-04;.1;33.1;27.1;23.4;91.8;82;.3;
2020-06-05;13.8;34.4;27.3;23;83.8;63;.4;
2020-06-06;1.2;34.7;27.6;24.2;82.3;57;1.3;
2020-06-07;3;34.9;28.2;24.1;81.3;56;.7;
2020-06-08;.7;34.7;28.5;24.4;76;58;1.3;
2020-06-09;17;33.5;27.1;24.1;84.3;59;.7;
2020-06-10;0;34.6;27.2;23.2;80.8;58;1.1;
2020-06-11;.8;34.6;27.7;23.3;82.5;58;1.2;
2020-06-12;0;31.8;26.7;23.1;92.8;79;.1;
2020-06-13;12.1;34;26.9;23.1;85.5;61;.8;
2020-06-14;6;34.4;28.1;23.3;76.5;61;.1;
2020-06-15;4;33.3;27.1;23.7;87.5;74;.1;
2020-06-16;.1;33.7;28;25;82.5;65;.9;
2020-06-17;0;34.3;27.4;24.1;83.3;58;1.1;
2020-06-18;15.6;33.9;27.3;23.6;84.3;63;.8;
2020-06-19;1.6;33.3;26.7;23.6;84.8;67;.7;
2020-06-20;7;33.8;27.5;23.6;85.3;68;.7;
2020-06-21;3.4;33.3;27.6;24.2;86.3;73;.7;
2020-06-22;3.7;34.1;28.5;24.9;79.8;59;.7;
2020-06-23;0;34.7;28.2;24;79;53;.5;
2020-06-24;0;33.3;27;23.6;83.3;63;1;
2020-06-25;9.4;28.6;26.5;23.6;82;61;.6;
2020-06-26;0;34.8;27.5;23.7;79.3;54;1;
2020-06-27;94.2;34;26.9;23;81.5;59;1.5;
2020-06-28;26;34.5;27.4;23.5;84;68;.7;
2020-06-29;10;34.3;27.4;23.6;82.3;60;.9;
2020-06-30;0;33.1;26.7;24.1;88;79;.4;
2020-07-01;4.2;34.6;28.3;24.4;78.3;53;.2;
2020-07-02;0;34.9;28.6;24.4;75.5;49;1.4;
2020-07-03;0;34.5;28.7;25;79.3;60;1;
2020-07-04;.1;34;27.5;24.4;83.5;62;1;
2020-07-05;14.1;34;27;23.4;86.8;66;.4;
2020-07-06;11;34.5;27.8;23.2;79.3;53;.7;
2020-07-07;0;33.9;26.9;23.4;89.8;82;.7;
2020-07-08;3.2;34.1;27.7;23.1;80.5;54;.5;
2020-07-09;.6;34.6;26.5;22.7;79.8;52;2.2;
2020-07-10;14;34.6;27.2;22.9;86;74;.6;
2020-07-11;0;35.1;27.3;23.3;81.3;54;1.4;
2020-07-12;17.7;34.3;28;23.8;80.8;53;1;
2020-07-13;0;35.2;28.6;23.4;75.8;53;.8;
2020-07-14;0;35.5;27.4;23;77.3;48;.3;
2020-07-15;2.4;34.9;27.1;23.6;80.5;53;.8;
2020-07-16;14.6;34.3;27.3;22.8;80.8;53;.6;
2020-07-17;.1;34.5;27.7;22.7;75.3;51;1.1;
2020-07-18;5.3;34.5;27.8;22.7;75.3;52;1.5;
2020-07-19;0;34.5;28.4;23.8;73.8;52;1.4;
2020-07-20;14.6;33.8;26.4;23.5;85;65;.9;
2020-07-21;27.6;34;26.4;22.7;84.8;61;.8;
2020-07-22;4;33.6;26.8;23.1;82.5;62;1.2;
2020-07-23;0;34.3;28;23.6;74.8;55;1.1;
2020-07-24;0;34.8;27.8;23.1;75;50;1.3;
2020-07-25;.3;34.5;28;23.9;77.8;55;.9;
2020-07-26;0;35.1;27.8;24;79.3;50;.7;
2020-07-27;0;34.9;27.3;23.7;79;48;1.2;
2020-07-28;0;34.3;27.9;23;73.5;48;1.5;
2020-07-29;0;35.1;28.4;23.3;73;48;.8;
2020-07-30;0;35.2;27.8;23;79;50;.3;
2020-07-31;0;35.1;28.5;23;76.3;60;1.2;
2020-08-01;0;34.5;28;23.4;79;50;.8;
2020-08-02;0;34.7;28.3;23.4;74.3;51;1;
2020-08-03;0;35.7;28.8;23.7;71.8;50;1.4;
2020-08-04;5;35.2;28.3;23.6;74.5;51;1.3;
2020-08-05;0;34.7;27.4;22.9;75.5;47;1;
2020-08-06;0;34.2;27.5;23.4;75.8;48;1.5;
2020-08-07;0;34.8;27.9;23;77.3;53;1;
2020-08-08;0;35.7;28.8;23.4;72;42;1.2;
2020-08-09;0;35.6;28;23.8;76.5;46;.4;
2020-08-10;0;36.5;28;23.6;79.5;58;.6;
2020-08-11;.9;36;28.5;23;76.3;63;.8;
2020-08-12;0;35.1;28.6;23.4;72.3;50;1.6;
2020-08-13;0;35.9;28.9;23;69.5;47;1.5;
2020-08-14;0;35.1;28.5;23.1;69.5;49;1.6;
2020-08-15;0;35.8;28.8;23.5;71;47;1.3;
2020-08-16;0;36.1;28.9;23.5;74.8;71;1.8;
2020-08-17;0;35.8;28.6;22.9;70;46;1.7;
2020-08-18;0;35.3;28.2;23.1;77.3;65;1.1;
2020-08-19;.2;35.6;28.9;23.1;71;45;1.1;
2020-08-20;0;37;28.8;23;68.8;36;1.9;
2020-08-21;0;35.1;28.9;23.4;65.5;59;.8;
2020-08-22;0;35;28.1;23.5;70.3;53;1.4;
2020-08-23;0;35.1;27.4;23.6;83;64;.7;
2020-08-24;11.4;34.6;27;23.2;88;75;1.4;
2020-08-25;7.2;33.1;27.6;23.6;83.5;79;.5;
2020-08-26;.9;35.1;28.3;22.9;73.5;57;1.1;
2020-08-27;0;36;28.5;23;78.8;67;1.2;
2020-08-28;16;34.5;27;22.9;86;68;.8;
2020-08-29;12.4;34.8;28.2;23.1;73.5;53;1.1;
2020-08-30;0;35.6;27.9;23;77;53;1.2;
2020-08-31;.3;35.2;27.6;23;77.5;55;.7;
2020-09-01;0;35.1;27.8;23.2;75.5;54;1.4;
2020-09-02;0;35.1;28.4;23.1;73.5;48;1.6;
2020-09-03;0;35.6;28.3;22.9;77;63;1.2;
2020-09-04;0;35.3;27;22.8;82.3;64;1;
2020-09-05;10.4;35.1;27.9;23.2;83;69;1.5;
2020-09-06;.7;34.9;28.4;23.5;74.5;49;1.5;
2020-09-07;0;36.1;27.5;23.7;82.3;64;1;
2020-09-08;1.6;35.1;26.6;22.5;85.8;66;.6;
2020-09-09;7.8;34.7;27.4;22.7;80.8;64;.8;
2020-09-10;0;35.8;28.8;23.4;70.5;55;1.5;
2020-09-11;0;30;26.6;23.1;79.8;61;.9;
2020-09-12;.5;34.9;27.2;23.1;78.8;55;.9;
2020-09-13;6.4;34.6;27.5;23.1;76.3;56;1.1;
2020-09-14;.1;35.6;28.5;23.5;77;54;.8;
2020-09-15;0;34.5;28.5;23.4;76.3;56;1.3;
2020-09-16;0;35.8;28.9;23;69.8;50;1.1;
2020-09-17;0;35.2;28.2;23.1;78.3;67;1.2;
2020-09-18;1.6;35.3;26.7;23;83.5;65;1;
2020-09-19;32.4;34.6;27.9;23.1;75.8;48;1;
2020-09-20;2.9;34.7;28.5;23.7;74.8;67;1.4;
2020-09-21;0;34.6;27.1;23.1;85.5;70;1;
2020-09-22;27.8;34.4;27.8;23.1;78.8;71;.9;
2020-09-23;0;34.9;27.7;22.8;81.3;69;1.2;
