Nome: SAO LUIS
Codigo Estacao: 82280
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 32.58
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;6;29.5;null;25.2;null;82;1.2;
2020-01-02;43.4;30.1;null;24.4;null;91;.5;
2020-01-03;4.6;30.9;null;25.4;null;85;1.5;
2020-01-04;3;29.3;null;25.2;null;95;.3;
2020-01-05;16.3;31.1;null;24.4;null;75;2;
2020-01-06;0;30.1;null;24.3;null;95;1.6;
2020-01-07;18.2;29.7;null;24.6;null;76;2.3;
2020-01-08;1.8;31.1;null;25.6;null;71;.6;
2020-01-09;6;30.7;null;26;null;76;1.2;
2020-01-10;1.1;30.9;null;25.4;null;72;1;
2020-01-11;45.2;27.7;null;24.6;null;93;1.3;
2020-01-12;19.2;31.1;null;25;null;69;1.2;
2020-01-13;1.4;29.7;null;24.6;null;83;1.4;
2020-01-14;26.1;28.7;null;25.2;null;83;.5;
2020-01-15;63.2;29.9;null;23.4;null;88;2.8;
2020-01-16;1;30.5;null;24.6;null;74;1.8;
2020-01-17;0;30.9;null;24.5;null;78;1.1;
2020-01-18;0;31.3;null;25.2;null;75;1.8;
2020-01-19;55;24.5;null;23.2;null;92;.9;
2020-01-20;19.6;31.3;null;23.8;null;67;1.3;
2020-01-21;26;26.7;null;25;null;91;.8;
2020-01-22;41.8;30.9;null;24.2;null;76;2.4;
2020-01-23;1.1;30.9;null;25.4;null;77;1.6;
2020-01-24;0;29.1;null;25.2;null;88;1.3;
2020-01-25;6.1;33.5;null;25;null;66;1.1;
2020-01-26;0;32.9;null;25.6;null;80;3;
2020-01-27;1;29.9;null;25;null;93;0;
2020-01-28;4.6;30.7;null;25.2;null;84;.2;
2020-01-29;26.8;32.7;null;25;null;75;2.1;
2020-01-30;0;29.7;null;25;null;90;.4;
2020-01-31;71.4;30.7;28.5;24.2;null;79;1.5;
2020-02-01;103.4;31.7;null;23.2;null;70;.5;
2020-02-02;0;31.7;null;24.4;null;75;1.6;
2020-02-03;.4;32.3;null;25;null;76;2.4;
2020-02-04;1.8;31.3;null;25;null;75;2.3;
2020-02-05;19;26.7;null;23.6;null;91;3.3;
2020-02-06;6.9;30.5;null;23.4;null;76;2.6;
2020-02-07;7.4;32.1;null;24.2;null;74;1.8;
2020-02-08;6.8;31.5;null;24.4;null;69;2.1;
2020-02-09;13.8;30.7;null;24.9;null;80;2.5;
2020-02-10;1.3;30.7;null;25.8;null;90;0;
2020-02-11;4;29.5;null;25.2;null;84;1.9;
2020-02-12;5.8;30.7;null;26.1;null;77;1.4;
2020-02-13;8.8;31.6;null;24.7;null;83;1.4;
2020-02-14;36;31.3;null;24.4;null;67;2.1;
2020-02-15;27.2;29.3;null;23.8;null;93;0;
2020-02-16;3.5;31.1;null;23.4;null;74;3;
2020-02-17;0;31.5;null;25.5;null;76;.8;
2020-02-18;31;32.3;null;24.6;null;72;2.1;
2020-02-19;7;31.1;null;25.2;null;78;.8;
2020-02-20;6.6;31.5;null;24.6;null;73;1.1;
2020-02-21;23.6;29.1;null;24.6;null;95;0;
2020-02-22;7;28.3;null;24.5;null;87;1.5;
2020-02-23;28.6;32.1;null;24;null;74;1.6;
2020-02-24;2.2;31.7;null;25.2;null;80;1.6;
2020-02-25;5.6;30.1;null;25.6;null;82;.5;
