Nome: MANAUS
Codigo Estacao: 82331
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;11;31.7;27.5;24.4;72.8;57;1.7;
2020-01-02;0;32.7;28.7;24.8;66.3;53;.3;
2020-01-03;0;34;28.4;26;74.3;57;0;
2020-01-04;17.2;33.3;28.3;25.8;73.5;60;.3;
2020-01-05;9.2;35.5;30.2;26;58.8;49;1;
2020-01-06;0;34.6;30.4;26.5;54.8;45;.7;
2020-01-07;0;33.7;27.8;25.9;80.3;55;1.3;
2020-01-08;30.6;32.3;27;23.6;77.8;61;1.7;
2020-01-09;2.4;32.4;28.1;26.2;77.5;68;.7;
2020-01-10;0;31.2;27.7;25.4;81.5;81;.7;
2020-01-11;5.7;32;27.7;25.1;74;64;1;
2020-01-12;0;32.8;28.4;25.3;69.3;56;1;
2020-01-13;0;31.1;26.4;24.8;85.8;71;.7;
2020-01-14;12.9;32.5;28.1;24.4;73.3;66;.3;
2020-01-15;1;33.3;28.8;24.8;71.5;60;1.3;
2020-01-16;.4;30.5;27;24.4;83.3;71;.7;
2020-01-17;.4;31.1;26.7;24.6;87.8;71;.3;
2020-01-18;16.4;32.1;26.8;25;87.3;67;.7;
2020-01-19;3.4;31.3;26.9;25;93.3;87;0;
2020-01-20;33.4;31.3;27;24.7;92.8;93;.7;
2020-01-21;113.4;30;26.1;23.9;85.5;77;.7;
2020-01-22;4;33;27.5;24.1;78.3;68;.7;
2020-01-23;0;33.8;29;25.9;73.3;54;.7;
2020-01-24;1.4;33.6;29.2;27.1;73.8;60;1;
2020-01-25;57.6;31.4;26.7;23.9;82.5;66;3.3;
2020-01-26;14.4;33.6;27.4;24.1;83.8;66;1;
2020-01-27;7.8;33.7;28.4;26.2;78.5;64;1.7;
2020-01-28;91.2;30.8;26.7;24;82.5;71;.3;
2020-01-29;4.4;32.7;27.1;24;81.8;60;.7;
2020-01-30;3.7;33.7;29;26;74.8;62;1.3;
2020-01-31;0;33.7;28.9;26.4;73.3;60;2;
2020-02-01;.3;32.1;28.2;25.4;77;76;1;
2020-02-02;4;33.3;28.8;25.5;68.8;54;1;
2020-02-03;0;33.1;29;25.4;64.8;56;1;
2020-02-04;0;34.1;28.5;26.7;74.8;53;1;
2020-02-05;7;31.5;27.8;25.5;79.8;79;.7;
2020-02-06;9.6;32;27.9;25.7;78.5;59;1.3;
2020-02-07;.5;32.8;27.9;24.4;69;55;1;
2020-02-08;0;33.1;28.8;26.5;68;60;.7;
2020-02-09;0;34.1;29;26.5;74.8;66;1.7;
2020-02-10;0;33.1;27.7;26;78.3;57;2;
2020-02-11;8.2;31.9;27.3;25.2;82;64;1;
2020-02-12;3.7;30.1;26.1;24.8;87;73;.7;
2020-02-13;29.9;31.3;26.9;24.6;85.3;72;.3;
2020-02-14;.4;28.7;26.5;25.2;85;81;1.3;
2020-02-15;3;34;27.5;24.4;81.3;68;.7;
2020-02-16;0;32.7;28.4;25.2;79.8;82;0;
2020-02-17;5;31.5;27.5;25.7;87.3;77;.7;
2020-02-18;38.3;33.3;29.4;25.6;68.3;59;1.3;
2020-02-19;.4;34;29.5;27.2;71;58;1.7;
2020-02-20;0;31.3;28.2;26.9;76.3;64;1.3;
2020-02-21;0;31.6;27.8;26.7;82.3;67;1.3;
2020-02-22;17.4;33.9;26.9;24.6;85.8;72;.3;
2020-02-23;31.1;32.9;28.6;24.6;76.3;68;1.3;
2020-02-24;.2;32.8;28.5;25.7;75.8;67;1;
2020-02-25;22.6;31.4;27.3;24.4;79.8;70;.7;
2020-02-26;0;31.9;27.7;25;81.5;67;.7;
2020-02-27;42.9;33.3;27.7;25;81.8;70;1;
2020-02-28;6.8;30.9;28;26;84.3;81;.3;
2020-02-29;.8;32.7;27.8;26;84.3;71;0;
2020-03-01;3.4;32.1;28.5;26.4;76.8;60;.3;
2020-03-02;48.9;28.8;25.7;24.2;92.3;79;.7;
2020-03-03;.2;33.1;28.3;24.6;75.8;55;1;
2020-03-04;8.6;33.6;29.1;26.2;74.3;63;1;
2020-03-05;.2;31.8;27;25.6;88.5;73;.7;
2020-03-06;43.9;32.4;28.1;25.4;79.5;66;1;
2020-03-07;0;34.2;29.4;26.3;68.3;54;.7;
2020-03-08;0;34.2;29.6;26.7;64;55;.7;
2020-03-09;0;33.3;29.5;27;70.8;60;1;
2020-03-10;.6;33.5;29.1;26.6;71.8;59;1.7;
2020-03-11;0;33.7;30.1;26.8;67.5;59;.7;
2020-03-12;0;34.5;30.6;27.4;70;61;.7;
2020-03-13;0;34.7;29.8;27.8;69.8;59;1.7;
2020-03-14;9.6;29.1;25.7;24.2;90.8;73;0;
2020-03-15;65.8;32.3;27.5;24.2;81.8;73;.7;
2020-03-16;0;33.4;28.4;24.8;76.5;62;.7;
2020-03-17;0;31.2;28.4;26.2;80.3;69;1.3;
2020-03-18;0;31.8;27.9;26.7;83.8;69;1;
2020-03-19;3.3;27.5;24.2;22.7;95.5;88;1.3;
2020-03-20;24.6;32.6;26.4;22.8;82.3;64;.3;
2020-03-21;2.5;33.4;28.6;24.3;73;55;.7;
2020-03-22;4.4;34.1;30;26.8;69.3;57;1.7;
2020-03-23;140.8;30.9;25.1;23.2;90;70;.3;
2020-03-24;37.6;34.3;28.3;23.2;67.8;57;0;
2020-03-25;0;34.9;29.3;26;72;51;1;
2020-03-26;2.6;34.5;30.3;27.4;73.3;69;.7;
2020-03-27;.7;31.1;27.9;27;82.3;73;0;
2020-03-28;0;32.5;28.7;26.2;79;69;1;
2020-03-29;0;33.9;28.5;26;77.5;59;.7;
2020-03-30;.7;27.8;25.8;24.3;93.5;86;1;
2020-03-31;47.9;30.5;25.7;24;90.3;73;1;
2020-04-01;22.3;33.2;27.2;23.3;79.3;64;.7;
2020-04-02;0;32.8;27.5;25.1;80.5;62;1;
2020-04-03;.1;33.3;29;25.9;74;59;1;
2020-04-04;1.3;31.5;28.3;26.2;79.3;73;1.3;
2020-04-05;1;33.6;29.5;26.3;74.3;60;1;
2020-04-06;.5;33.9;28.3;26.4;87.8;75;1.7;
2020-04-07;9.8;32.3;28.6;26.2;78.8;64;.3;
2020-04-08;.8;29.3;26.7;25.2;92.5;81;.3;
2020-04-09;8.5;26.9;25.5;24.6;93.8;89;0;
2020-04-10;6;33.9;28.2;24;78.8;62;.3;
2020-04-11;0;29.1;26;24;90.5;80;.3;
2020-04-12;45.9;33.7;26.9;24;80.3;56;.7;
2020-04-13;0;30.2;26.2;24.9;88.8;87;1;
