Nome: TERESINA
Codigo Estacao: 82578
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.73
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;34.9;null;24.1;null;51;1.5;
2020-01-02;12;31.5;null;22.6;null;72;.5;
2020-01-03;.2;32.9;null;24.4;null;70;1.5;
2020-01-04;1.2;30.3;null;24.1;null;80;.5;
2020-01-05;null;null;null;null;null;null;null;
2020-01-06;0;32.2;null;22.4;null;70;.4;
2020-01-07;36.8;31.5;null;21.2;null;75;.5;
2020-01-08;.2;33.7;null;24.4;null;69;.7;
2020-01-09;8;33.5;null;24.4;null;72;1.5;
2020-01-10;2.5;32.7;null;23.6;null;75;1.7;
2020-01-11;0;33.5;null;24.2;null;64;1;
2020-01-12;null;null;null;null;null;null;null;
2020-01-13;0;32.9;null;24.2;null;73;1.3;
2020-01-14;0;34.1;null;25;null;64;.8;
2020-01-15;11;33.4;null;23.2;null;68;1.3;
2020-01-16;4.6;33.5;null;23.6;null;64;.8;
2020-01-17;0;32.2;null;25;null;80;1.2;
2020-01-18;1.5;32.7;null;22.6;null;72;.2;
2020-01-19;null;null;null;null;null;null;null;
2020-01-20;6.5;32.5;null;23.2;null;72;.5;
2020-01-21;0;33.5;null;22.8;null;66;3;
2020-01-22;4.6;32.7;null;24.6;null;73;1;
2020-01-23;.2;31.7;null;23.6;null;76;.7;
2020-01-24;15.6;33.1;null;22.2;null;68;1;
2020-01-25;0;34.7;null;25.1;null;63;.3;
2020-01-26;null;null;null;null;null;null;null;
2020-01-27;28.6;31.3;null;22.6;null;74;.8;
2020-01-28;7.8;32.7;null;24;null;77;1;
2020-01-29;1.3;32.2;null;23.3;null;78;.3;
2020-01-30;24;32.9;null;23.5;null;73;.4;
2020-01-31;13.8;32.4;null;22.2;null;70;.8;
2020-02-01;11;31.9;null;22.1;null;71;.5;
2020-02-02;null;null;null;null;null;null;null;
2020-02-03;4.8;32.9;null;22;null;73;1;
2020-02-04;2.4;33.1;null;22.1;null;67;.3;
2020-02-05;20.8;31.1;null;23.1;null;95;.4;
2020-02-06;87.6;31.3;null;21.5;null;67;.4;
2020-02-07;6.8;32.9;null;22.4;null;68;.8;
2020-02-08;0;29.9;null;23.4;null;78;.4;
2020-02-09;null;null;null;null;null;null;null;
2020-02-10;16.6;32.6;null;22.3;null;73;.3;
2020-02-11;.7;32.7;null;22.2;null;73;.4;
2020-02-12;3;32.9;null;24.2;null;64;.7;
2020-02-13;0;32.8;null;22.8;null;90;.5;
2020-02-14;41;33.3;null;22.6;null;71;1;
2020-02-15;20.6;31.1;null;21.8;null;78;.5;
2020-02-16;null;null;null;null;null;null;null;
2020-02-17;0;33.3;null;23.8;null;68;1;
2020-02-18;0;30.5;null;24.2;null;84;.3;
2020-02-19;16.5;32.7;null;23.6;null;72;.7;
2020-02-20;.5;31.1;null;23.4;null;78;1;
2020-02-21;23;29.1;null;22.6;null;82;.8;
2020-02-22;0;31.7;null;22.6;null;76;1;
2020-02-23;null;null;null;null;null;null;null;
2020-02-24;8;32.7;null;22.1;null;92;.5;
2020-02-25;26.2;33.1;null;23.6;null;75;.8;
2020-02-26;48.4;32.5;null;23.2;null;74;.4;
2020-02-27;0;32.3;null;23.4;null;77;.5;
