Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;32.8;27.9;24.1;83;80;1.3;
2020-01-02;0;32;28;24.1;83;79;1.7;
2020-01-03;0;32.4;28.5;24.3;84;77;2.8;
2020-01-04;0;32.4;28.3;23.9;79;68;1.2;
2020-01-05;null;null;null;null;null;84;null;
2020-01-06;0;33;28.6;24.1;83;79;1.7;
2020-01-07;0;33.3;28.6;24.3;85;79;2.2;
2020-01-08;0;32.6;28.7;24.5;82;73;1.3;
2020-01-09;2.4;33.3;28.3;22.7;85;79;2.3;
2020-01-10;.7;33;28.6;24.3;78;70;1.2;
2020-01-11;0;32.8;28.6;24.1;75;72;1.7;
2020-01-12;null;null;null;null;null;76;null;
2020-01-13;0;33.3;28.9;23.9;75;67;1.7;
2020-01-14;0;32.8;28.2;23.7;78;74;1.3;
2020-01-15;0;32;28.2;21.8;76;68;1.7;
2020-01-16;0;33;28.8;24.1;76;70;2.1;
2020-01-17;1.6;32.8;28.7;23.9;78;73;2.7;
2020-01-18;1.4;33;28.3;23.3;78;75;2.3;
2020-01-19;null;null;null;null;null;79;null;
2020-01-20;0;33;28.7;24.1;75;68;2.3;
2020-01-21;2;33;28.3;23.1;81;74;1.2;
2020-01-22;.9;32.6;27.9;22.9;88;84;.9;
2020-01-23;13;32;28.2;22.7;81;76;1.5;
2020-01-24;1;32.4;28.5;24.7;83;77;2;
2020-01-25;.7;33;28.8;23.7;82;77;1.8;
2020-01-26;null;null;null;null;null;84;null;
2020-01-27;0;33.3;28.9;24.3;82;75;1.8;
2020-01-28;0;33.9;28.9;24.1;78;75;1.8;
2020-01-29;0;32;28.4;24.5;78;77;2.3;
2020-01-30;4.4;32.8;28.6;24.1;75;66;1.7;
2020-01-31;0;32.6;28.9;24.3;78;70;.2;
2020-02-01;14.4;31.6;26.8;21.2;84;69;.1;
2020-02-02;3.6;32.4;28.2;22.1;80;75;.6;
2020-02-03;10;33;27.4;21.8;82.5;71;1.1;
2020-02-04;.1;33;28.8;22.9;72.3;64;1.6;
2020-02-05;5.4;32.6;28.3;21.8;73.3;67;2.2;
2020-02-06;0;33;28.8;22.5;72.5;65;1.3;
2020-02-07;0;33.5;28.6;22.9;70.8;62;1.3;
2020-02-08;0;33.3;28.4;22.7;72.5;63;1.3;
2020-02-09;0;33.5;29.1;23.7;72.5;67;2.7;
2020-02-10;1;33.7;29.2;22.9;74.3;67;1.8;
2020-02-11;.8;33.5;29;24.1;69.8;61;2.2;
2020-02-12;.6;34.1;28.5;21;71.3;60;1.5;
2020-02-13;38.2;29.2;26.1;21.4;91;75;1.1;
2020-02-14;11.4;33;28.6;21.2;72;66;1;
2020-02-15;0;33;28.2;21.2;70.5;63;1.7;
2020-02-16;0;33.3;28.6;21;70.5;62;.9;
2020-02-17;1.7;33;29;23.7;71;65;2.4;
2020-02-18;0;33.3;29.6;24.9;71;61;2.4;
2020-02-19;.6;33.3;29;23.3;70.8;67;2.7;
2020-02-20;23;31.8;26.5;20.8;92.8;74;.3;
2020-02-21;11.4;32;27.6;21;80.5;75;1;
2020-02-22;1;32.4;28.8;23.9;78;71;2.3;
2020-02-23;0;32.2;28.9;23.5;72.8;70;1.6;
2020-02-24;0;32.6;29.2;24.9;73.3;69;1.6;
2020-02-25;0;33;29;24.1;72.5;67;1.9;
2020-02-26;.2;33.9;29.6;24.1;70.3;66;1.8;
2020-02-27;0;33.5;29.2;23.9;72.3;68;2.1;
2020-02-28;1;33.3;29.2;22.7;76.8;69;.6;
2020-02-29;14;32.8;28.8;22.1;73.5;67;1.2;
2020-03-01;0;31.8;27.8;23.1;82.5;75;.3;
2020-03-02;.4;32.8;28.6;21.8;71.5;62;1.9;
2020-03-03;5.8;32.8;28;21.4;78.5;68;.1;
2020-03-04;3.4;33.2;29.1;23.5;72.3;69;1.5;
2020-03-05;0;33;28.9;22.1;74.8;68;0;
2020-03-06;0;33.4;29.1;22.9;73.8;68;1.6;
2020-03-07;0;33.6;29.5;24.7;74;67;1.4;
2020-03-08;0;33.2;29.6;23.9;68;60;1.6;
2020-03-09;0;34.1;29.1;21.8;67;60;1.8;
2020-03-10;0;33.8;29;22.1;69.5;62;1.6;
2020-03-11;10.8;33;28.4;21.8;76.3;70;1.1;
2020-03-12;22;30.8;27.1;21.4;82;76;1.2;
2020-03-13;38.4;31;26.4;20.8;82.5;74;0;
2020-03-14;5.6;31.8;27.4;20.8;77.8;72;.2;
2020-03-15;1.8;32.2;27.3;21.8;89.8;74;.3;
2020-03-16;16.2;32.4;27;20;85;76;1.1;
2020-03-17;0;32.6;28.2;21;75.5;71;.3;
2020-03-18;3.4;32.8;28.4;22.5;75.8;65;1.4;
2020-03-19;0;32.8;28.8;22.5;70.8;66;0;
2020-03-20;0;33.5;28.3;21.4;74.3;65;1.4;
2020-03-21;0;33;28.6;22.7;71.8;62;1.4;
2020-03-22;0;33.7;29;22.1;70.5;67;1.1;
2020-03-23;0;34.1;29.1;21.4;74;67;.4;
2020-03-24;0;33.5;28.7;21.6;74.8;65;1;
2020-03-25;14.4;32;27.5;21.8;82.5;71;.4;
2020-03-26;0;null;27.2;19.8;78.5;67;1.1;
2020-03-27;7.2;32.4;27.6;20.8;78.5;67;.8;
2020-03-28;12;32.4;27.9;21;79.3;67;0;
2020-03-29;.2;32;27.4;21.4;88;73;.2;
2020-03-30;51.6;29.2;25.4;20.2;90.3;82;.4;
2020-03-31;54.2;31;26.9;20.8;84.5;77;1;
2020-04-01;5.2;32.4;28.2;21.8;75.5;null;2.7;
2020-04-02;12.4;32.2;26.6;21.2;92.5;null;1;
2020-04-03;2;32.8;27.8;21.6;79.5;null;1.6;
2020-04-04;25.4;33;28.6;21.8;79;null;2;
2020-04-05;2.4;32.8;28.7;23.1;77.5;null;1.8;
2020-04-06;6;33;29.1;23.3;75;null;1.5;
2020-04-07;.6;32.6;28.3;22.1;75;null;2.2;
2020-04-08;0;33;28.7;21.4;72;null;1;
2020-04-09;0;33;28.4;21.6;76.5;null;1.4;
2020-04-10;.2;33;27.7;21.4;78.8;null;.6;
2020-04-11;1.2;33.9;28.8;21.4;71.3;null;1.3;
2020-04-12;0;33;29;22.1;68.5;null;2.2;
2020-04-13;0;33;28.7;21.8;72;null;1.7;
2020-04-14;.1;33.5;28.7;21.4;72.3;null;1.4;
2020-04-15;7.8;30.4;25.4;20.8;88.5;null;.6;
2020-04-16;10;30.8;26;21;95;null;0;
2020-04-17;5.5;32.8;28.3;21;74.5;null;1.8;
2020-04-18;0;32.4;27.8;20.8;76.5;null;1.2;
2020-04-19;2;30.8;26.5;21;85.3;null;1.6;
2020-04-20;9.4;31.6;27.2;20.4;81.8;null;1.2;
2020-04-21;13;null;24.8;20;98;null;0;
2020-04-22;26.8;32;26.8;19;86;null;0;
2020-04-23;5.8;31.4;27;19.8;83;null;.5;
2020-04-24;9.6;31;26.5;20.8;90;null;0;
2020-04-25;4.4;30.4;25.8;20;93;80;.4;
2020-04-26;36.4;31.4;26.5;20.2;90;null;0;
2020-04-27;14;28.4;25.3;20;95;null;.3;
2020-04-28;27.6;31.2;26;19.8;88;null;0;
2020-04-29;.4;31.8;26.8;20.6;83;null;1.5;
2020-04-30;12;31.8;26;20.2;97;null;0;
2020-05-01;21.2;32.8;27.3;20.2;85;92;.6;
2020-05-02;0;33;28.2;22.1;80;null;1.3;
2020-05-03;23.6;33.3;27.7;20.8;81;null;2.2;
2020-05-04;2.4;32;27.7;20.8;78;null;1;
2020-05-05;27.4;31.4;27.2;21;84;null;2.5;
2020-05-06;12.8;31.8;27.6;19.8;76;null;1;
2020-05-07;9.2;32.4;27.5;20.6;74;null;1;
2020-05-08;0;32;27.2;19;75;null;.9;
2020-05-09;0;32.4;27.5;20;71;null;.5;
2020-05-10;0;32.2;27.4;19;73;null;1.8;
2020-05-11;0;32.4;27.6;19.8;75;null;1;
2020-05-12;.8;31.2;27;20;82;null;0;
2020-05-13;1;32;26.6;19.8;86;null;1.7;
2020-05-14;54.6;31.4;25.4;19.8;99;null;0;
2020-05-15;84.8;26.4;24;20.2;98;null;.7;
2020-05-16;37.2;31;25.7;19.8;94;null;1;
2020-05-17;2.4;31.8;26.7;19.8;85;null;.2;
2020-05-18;10.2;32;27.2;20.8;86;null;0;
2020-05-19;3.8;32.6;27.4;21;88;null;1.5;
2020-05-20;23.4;31;26.6;19.8;88;null;.5;
2020-05-21;4.4;32;26.8;20.6;89;null;1.3;
2020-05-22;3;32;26.6;20.2;92;null;1;
2020-05-23;138.6;26.2;23.6;19.2;99;null;1.3;
2020-05-24;24.8;26.2;23.8;19;99;99;0;
2020-05-25;20.3;29.8;25.2;19.8;98;null;.3;
2020-05-26;0;32;27;19.6;87;null;0;
2020-05-27;0;31.6;27.1;20;86;null;.8;
2020-05-28;0;32;27.1;20.4;87;null;.4;
2020-05-29;30.2;28;24.5;19.8;88;null;1.3;
2020-05-30;1.4;31.2;26;19.6;85;null;1;
2020-05-31;25;31;25.6;21.8;95;89;.4;
2020-06-01;.1;31.4;25.8;19.2;87;null;0;
