Nome: RECIFE (CURADO)
Codigo Estacao: 82900
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Fechada
Data Inicial: 2020-01-01
Data Final: 2020-08-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;.8;30.8;27.2;22.2;72.8;65;1.8;
2020-01-02;1;32;27.1;21.7;76;62;1.8;
2020-01-03;.2;32.9;28;22.6;67.3;62;2.1;
2020-01-04;0;33.1;27.8;21;66.8;49;2;
2020-01-05;0;31.3;27.2;22.2;71;61;1.6;
2020-01-06;0;32.1;27.9;21.7;68;59;2.3;
2020-01-07;0;32.1;28.3;24;66.8;57;2.1;
2020-01-08;0;32.3;27.6;21.8;67.8;60;2.2;
2020-01-09;.4;32.2;27.5;24;74.5;55;2.1;
2020-01-10;0;32.3;27.6;21.6;67.8;58;2.2;
2020-01-11;0;33;28.2;24;65.8;53;2.1;
2020-01-12;0;32.2;27.8;22;70.3;58;1.8;
2020-01-13;0;32.4;27.7;21.3;68.5;57;2.4;
2020-01-14;0;32.1;27.8;23;66.5;58;1.9;
2020-01-15;0;32.5;27.5;20.6;62.3;51;1.8;
2020-01-16;0;32.5;28.1;22.6;67.5;57;2.3;
2020-01-17;0;32.7;28.1;23.6;73;59;2.1;
2020-01-18;.1;32;28.1;23.8;68.5;60;1.4;
2020-01-19;5.9;32.1;27.9;23.1;65.8;58;1.6;
2020-01-20;0;31.5;27.3;22;70.5;56;2.3;
2020-01-21;1.2;32.1;28;21.6;70.8;59;1.6;
2020-01-22;1;32.5;28;22.6;78.3;69;.7;
2020-01-23;21.8;31.1;27.8;23.4;76.3;68;1.4;
2020-01-24;0;31.9;27.6;23.4;82.5;76;.9;
2020-01-25;.2;31;27.5;23.6;78.5;60;.6;
2020-01-26;1.2;32.6;28.3;22.6;73.3;67;1.9;
2020-01-27;0;32.8;28.4;24;72;58;1.3;
2020-01-28;0;32.7;28.2;22;70;63;1.3;
2020-01-29;21.4;31.8;28;24.1;70.5;60;2.4;
2020-01-30;0;31.7;27.9;22.6;70;63;2.2;
2020-01-31;1.4;32.1;27.2;22.4;76;71;1.5;
2020-02-01;.2;30;27;23;81.3;72;.5;
2020-02-02;0;32;27.6;22;71;65;1.4;
2020-02-03;2;32.4;28;22.8;83.3;72;1.1;
2020-02-04;22.9;32.5;28.2;23.2;72;64;1.3;
2020-02-05;0;32.3;28.4;22.8;67;61;1.4;
2020-02-06;0;32.6;28.1;22.6;72;63;1.3;
2020-02-07;0;33.1;28.3;22.2;69.5;61;1.6;
2020-02-08;0;32.1;27.6;22;68;60;.8;
2020-02-09;0;32;27.6;21.8;72;60;1.5;
2020-02-10;0;32.7;28.3;22.8;70.3;66;1.8;
2020-02-11;1;32.1;28.4;24;71.5;59;2;
2020-02-12;0;32.7;28;23;71.8;54;1.6;
2020-02-13;6.4;30.3;27.2;23.6;82.3;76;.9;
2020-02-14;2.8;32;27.6;22.2;77.8;66;1.8;
2020-02-15;.2;32.3;27.8;21.3;69.3;58;1.6;
2020-02-16;.4;32.4;27.6;22;73.5;57;.8;
2020-02-17;4;32.1;28.2;23;69.5;62;2.2;
2020-02-18;.6;31.9;28.3;23.8;69.3;60;2.1;
2020-02-19;6.1;31.6;27.3;21.8;74.3;60;1;
2020-02-20;26.2;30.7;25.6;21.4;92.3;79;.9;
2020-02-21;1.2;31.2;27.3;21.2;82;81;1;
2020-02-22;.6;31.9;27.8;23;76;64;1;
2020-02-23;.6;32.1;28.1;23.1;74.3;64;1.3;
2020-02-24;5.6;32.4;28.4;23.6;67.8;56;1.5;
2020-02-25;0;32;27.8;22;71.5;57;1.2;
2020-02-26;3.5;32.3;27.7;22.8;75.8;59;1.1;
2020-02-27;.2;32.7;28.2;23;73.3;58;.6;
2020-02-28;0;33.5;28.3;22.4;73;65;1.3;
2020-02-29;0;32.5;28.7;23.4;65.5;51;1.9;
2020-03-01;12.8;31.5;27.6;22.8;74.5;68;1;
2020-03-02;0;32.6;28.2;22.2;68.3;58;1.4;
2020-03-03;0;33.1;28.8;24.8;70;58;1.4;
2020-03-04;0;33.1;28.9;22.8;71.5;60;1.9;
2020-03-05;0;34.6;28.9;22.2;72;61;.8;
2020-03-06;0;34.1;28.8;22.6;74;67;.6;
2020-03-07;6.6;32.1;28.1;23.4;83.8;78;0;
2020-03-08;0;33.1;29.4;25.6;71.5;60;1.8;
2020-03-09;0;32.8;27.8;21.8;71;58;1.5;
2020-03-10;0;32.5;27.9;20.1;70.3;63;1.4;
2020-03-11;0;null;null;22.2;70.3;59;1.6;
2020-03-12;5;null;null;23;72.5;72;2.3;
2020-03-13;.6;31.1;27.7;22.6;70.8;70;1;
2020-03-14;3.4;32.5;27.9;22.2;73;62;.8;
2020-03-15;8.4;30.3;26.2;22.6;87;70;.3;
2020-03-16;79.9;null;null;21.8;84.3;65;.6;
2020-03-17;5.5;31.9;27.3;21.6;80.8;70;1.4;
2020-03-18;.4;32.2;27.7;22.3;74.5;64;.8;
2020-03-19;0;32.4;28;22.6;74.3;56;1.3;
2020-03-20;0;null;null;25.6;null;79;0;
2020-03-21;0;33.5;28;21.6;75;65;.9;
2020-03-22;0;33.6;28.1;22;70.3;51;.6;
2020-03-23;0;34.1;28.2;22.3;76;60;1.3;
2020-03-24;0;33.2;28;22.2;76.8;61;.6;
2020-03-25;1.2;32.2;27.6;23.2;80.3;66;.6;
2020-03-26;0;33.2;27.8;21.6;75.8;58;.4;
2020-03-27;4;30.5;26.3;22.2;87.5;75;.4;
2020-03-28;14.4;32;27;22;81.5;66;.2;
2020-03-29;2.6;31.3;26.9;22.8;84.8;68;.8;
2020-03-30;6.2;29;25.8;21.9;90.5;82;.3;
2020-03-31;4;30;26.3;22.1;84.3;67;.8;
2020-04-01;11.2;31.1;26.4;22;90.8;86;.6;
2020-04-02;4.3;31.1;26.7;22.3;89.3;83;.8;
2020-04-03;14.6;31.3;27.2;21.8;79;69;.8;
2020-04-04;0;33.1;28;22.5;78.8;62;.6;
2020-04-05;4;33.4;28.6;22.6;75.3;62;1.6;
2020-04-06;.6;32.1;28.1;23.6;77.3;66;1.5;
2020-04-07;3.2;31.7;27.3;22;79;67;.7;
2020-04-08;0;32.1;27.3;21.8;78.3;61;.8;
2020-04-09;0;32.4;27.6;21.8;77;68;1.6;
2020-04-10;0;32;28.3;22.6;76.5;67;1.3;
2020-04-11;0;32.9;28.1;22.6;73.5;62;.8;
2020-04-12;0;33;28;21.8;74.8;62;.5;
2020-04-13;0;32.6;27.7;21.6;74.8;69;.7;
2020-04-14;0;32.4;27.3;21.3;73.8;62;1.1;
2020-04-15;0;32.1;27.3;22.2;80.5;68;.8;
2020-04-16;22.4;29;25.3;20.8;91.5;81;1;
2020-04-17;3;32.2;26.9;22.4;85.3;76;1.4;
2020-04-18;3.6;32.1;27.3;22;85.5;82;0;
2020-04-19;3;31;26.3;22.4;88.8;74;.3;
2020-04-20;4.4;30.9;26.2;22;85.8;72;.3;
2020-04-21;13.8;29.5;26;21.6;87.3;78;.6;
2020-04-22;8.4;27.8;24.9;21.3;92.5;89;0;
2020-04-23;.3;31.3;26.8;21.8;83;70;.8;
2020-04-24;11.4;26.2;24.5;21.6;97.8;87;.6;
2020-04-25;76.9;29.8;25.6;20.4;86.8;74;.5;
2020-04-26;58.1;30.7;26.1;21.6;86.5;72;.3;
2020-04-27;7.4;30.1;25.4;21.6;86.8;74;.8;
2020-04-28;0;30.8;26.9;20.8;77.8;66;1.6;
2020-04-29;.2;30.8;26.4;21.5;81;70;1.6;
2020-04-30;5.2;30.1;26.1;22;88.8;82;.4;
2020-05-01;6.1;31.2;26.4;20.4;83.5;69;.6;
2020-05-02;0;31;27;21.6;77.3;63;.8;
2020-05-03;.2;31.1;26.5;21.4;82;64;1.3;
2020-05-04;0;30.8;26.6;21.2;75.5;67;1.4;
2020-05-05;0;29.6;26.3;22;84.3;76;.7;
2020-05-06;5.1;30.8;26.7;22.4;83.8;71;1;
2020-05-07;.6;31.1;26.6;21;78.8;66;1;
2020-05-08;0;31.1;25.7;19.8;81.5;65;.6;
2020-05-09;.2;30;25.8;21;80.8;66;1.4;
2020-05-10;0;29.6;25.9;19.8;81;74;.8;
2020-05-11;.4;30.1;25.8;19.8;82.5;70;.7;
2020-05-12;20;30.8;25.6;22;85.8;74;1.6;
2020-05-13;2.1;30.2;25.7;21.1;89.5;85;1;
2020-05-14;5.6;30;26.2;21.9;87.8;77;1.3;
2020-05-15;24;28.6;25.3;22.6;91.8;82;.2;
2020-05-16;6.2;27.3;24.7;22;96.3;94;.6;
2020-05-17;10.8;28.6;25.1;21.6;92.3;81;.6;
2020-05-18;4;30.5;26;21.6;87.8;71;.2;
2020-05-19;.6;31.1;26.5;21.8;87.8;76;.2;
2020-05-20;11.9;28.5;25.9;22.2;92;85;.5;
2020-05-21;31.6;30.2;26.3;21.6;84.8;70;1.6;
2020-05-22;7;30.5;26.6;21.6;83.5;70;1.1;
2020-05-23;12.6;27.1;24.5;21.8;94.3;87;0;
2020-05-24;55.1;29.1;24.8;21.5;90.3;75;1.7;
2020-05-25;6.2;28.9;25.1;21.4;93;85;0;
2020-05-26;0;31.9;26.7;21.4;84;69;.6;
2020-05-27;0;31.4;27;21.8;84.8;73;.3;
2020-05-28;.7;31.4;26.1;21.8;87.5;81;.3;
2020-05-29;26.6;27.9;24.3;20.8;88.8;77;1.3;
2020-05-30;2;28.8;25.1;21;90;80;.6;
2020-05-31;7.5;30.3;25.4;20.8;87.5;71;0;
2020-06-01;0;30.6;25.5;20.9;86.8;72;1;
2020-06-02;8;31;25.7;20.4;82.3;63;.3;
2020-06-03;.4;31.3;null;20.8;null;64;.9;
2020-06-04;.6;29.6;null;22;null;74;.4;
2020-06-05;10.6;30;null;20.9;null;70;.9;
2020-06-06;8.2;28;null;20.2;null;83;1.3;
2020-06-07;30;27.7;null;19.8;null;81;0;
2020-06-08;1.8;29.8;null;20.4;null;72;.9;
2020-06-09;29.4;29.1;null;19.8;null;77;1;
2020-06-10;18.8;29.2;24.9;20.6;89;74;1.7;
2020-06-11;8;29.7;26;21;83;74;.6;
2020-06-12;1;29.7;25.6;20.8;82.5;72;1.1;
2020-06-13;0;30.6;25.4;19.6;82.8;68;.8;
2020-06-14;70.7;29.2;24.2;19.5;90.8;72;.6;
2020-06-15;41;28.6;24.6;21.2;93;90;.6;
2020-06-16;26.6;28.4;24.6;20.6;88.8;76;1.1;
2020-06-17;12.8;28.2;24.4;20.2;87.5;78;1.3;
2020-06-18;11;29.8;24.9;20.6;88.8;77;1.1;
2020-06-19;15;28.7;25.4;21.2;85.5;80;1.7;
2020-06-20;3.6;29.4;26.2;22.9;77.3;68;1.4;
2020-06-21;7;29.5;25.5;19.6;68.3;56;1.5;
2020-06-22;0;29.3;24.7;18.6;74;66;.9;
2020-06-23;0;29.7;26.3;21.6;74.5;68;1.1;
2020-06-24;2;28.7;24.3;20.6;83;64;1.3;
2020-06-25;1.4;29.7;25.4;20.2;77.3;62;1.5;
2020-06-26;1.6;28;24.6;20.2;81;73;.8;
2020-06-27;1.8;30;24.6;19.2;84;70;.8;
2020-06-28;.9;27.8;24.1;19.7;91;78;.5;
2020-06-29;17.6;28.8;24.1;19.6;82.5;66;.8;
2020-06-30;.4;28.2;24;18.6;81.5;65;1.2;
2020-07-01;.6;29.1;24.1;18.1;81.5;null;.6;
2020-07-02;0;29.4;24.6;19.2;84.5;null;.4;
2020-07-03;9.2;29.2;24.4;20.2;77.8;null;.3;
2020-07-04;null;null;null;null;null;null;null;
2020-07-05;.2;28.8;24.4;19.2;91.5;null;1.3;
2020-07-06;16.2;27.6;23.8;20.3;84.8;null;2.2;
2020-07-07;.4;29.2;23.7;18;76.5;null;1.1;
2020-07-08;4.5;30.3;24.1;18.8;80.3;null;.8;
