Nome: RIO BRANCO
Codigo Estacao: 82915
Latitude: -9.95916666
Longitude: -67.86888888
Altitude: 160.71
Situacao: Fechada
Data Inicial: 2020-01-01
Data Final: 2023-08-14
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;12.2;27.2;25.2;23.3;94;90;.3;
2020-01-02;37;30.2;25.6;23.1;90;91;0;
2020-01-03;1.4;33.5;27.2;22.7;87;85;.5;
2020-01-04;22.1;28.4;25.6;23.7;97;82;.5;
2020-01-05;11;32.2;27;23.9;94;95;1.5;
2020-01-06;.4;33.5;28.1;23.9;89;92;1.5;
2020-01-07;0;35.1;28.5;23.9;85;85;1.5;
2020-01-08;0;34.7;28.8;24.3;81;81;3;
2020-01-09;0;32.6;26.9;23.7;83;76;1.5;
2020-01-10;0;33.3;27.3;24.3;85;80;.5;
2020-01-11;0;33.7;28;23.9;85;80;1.5;
2020-01-12;0;29.6;26.4;24.1;88;79;.5;
2020-01-13;.4;31;26.4;23.5;88;86;3;
2020-01-14;2.8;28.8;25.8;23.9;90;86;0;
2020-01-15;6.8;35.3;27.9;22.9;84;87;0;
2020-01-16;0;34.7;27.6;22.7;89;78;.5;
2020-01-17;1.4;32.2;27.5;24.5;89;85;1.5;
2020-01-18;7.4;34.1;26.9;23.5;92;84;0;
2020-01-19;0;35.7;28.5;23.5;84;88;1.5;
2020-01-20;0;34.7;28.3;23.9;88;76;.5;
2020-01-21;.2;32.4;27.7;24.5;90;85;.5;
2020-01-22;2.4;33.9;27.4;25.1;91;88;0;
2020-01-23;2;34.3;28.6;24.5;84;89;1.5;
2020-01-24;0;34.7;29;24.7;79;78;.5;
2020-01-25;0;34.7;28;25.1;89;72;.5;
2020-01-26;0;35.7;29.5;24.9;83;84;0;
2020-01-27;0;35.5;29.2;24.5;85;77;.5;
2020-01-28;6.8;31.4;26.3;22.4;91;79;1.5;
2020-01-29;7;28.2;25.6;22.5;95;84;.5;
2020-01-30;11.6;33.7;27.3;23.1;91;93;0;
