Nome: MACEIO
Codigo Estacao: 82994
Latitude: -9.55138888
Longitude: -35.77083332
Altitude: 84.12
Situacao: Fechada
Data Inicial: 2020-01-01
Data Final: 2021-04-07
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;31.2;26.2;22.9;80;70;null;
2020-01-02;0;32;26.6;22.8;80.5;73;null;
2020-01-03;0;31.5;26.3;21.8;78.5;66;null;
2020-01-04;0;32.7;27;22.8;80;72;null;
2020-01-05;0;null;null;22.7;null;78;null;
2020-01-06;0;32.4;null;22.1;null;69;null;
2020-01-07;0;32.7;null;22.7;null;71;null;
2020-01-08;0;33.2;null;23.1;null;67;null;
2020-01-09;0;32.2;null;22.5;null;74;null;
2020-01-10;0;32.2;null;22.6;null;69;null;
2020-01-11;0;32.9;null;23;null;68;null;
2020-01-12;null;null;null;null;null;null;null;
2020-01-13;0;33.8;null;23.2;null;67;null;
2020-01-14;0;33;null;22.8;null;70;null;
2020-01-15;0;33.6;null;23.3;null;61;null;
2020-01-16;0;32.2;null;22.5;null;65;null;
2020-01-17;0;32.8;null;22.4;null;68;null;
2020-01-18;0;33.1;null;23;null;65;null;
2020-01-19;null;null;null;null;null;null;null;
2020-01-20;2.2;29.6;null;22;null;61;null;
2020-01-21;0;32.8;null;22.2;null;62;null;
2020-01-22;0;29;null;21.9;null;68;null;
2020-01-23;0;31.6;null;23.1;null;70;null;
2020-01-24;0;32.1;null;23.2;null;66;null;
2020-01-25;0;31;null;23.2;null;69;null;
2020-01-26;null;null;null;null;null;null;null;
2020-01-27;0;33.8;null;23.3;null;62;null;
2020-01-28;0;33;null;23.4;null;68;null;
2020-01-29;0;32.7;null;23;null;71;null;
2020-01-30;2.8;31.8;null;22.4;null;72;null;
2020-01-31;0;32.2;null;22.9;null;72;null;
2020-02-01;null;null;null;null;null;null;null;
2020-02-02;null;null;null;null;null;null;null;
2020-02-03;null;null;null;null;null;null;null;
2020-02-04;null;null;null;null;null;null;null;
2020-02-05;null;null;null;null;null;null;null;
2020-02-06;null;null;null;null;null;null;null;
2020-02-07;null;null;null;null;null;null;null;
2020-02-08;null;null;null;null;null;null;null;
2020-02-09;null;null;null;null;null;null;null;
2020-02-10;null;null;null;null;null;null;null;
2020-02-11;null;null;null;null;null;null;null;
2020-02-12;null;null;null;null;null;null;null;
2020-02-13;null;null;null;null;null;null;null;
2020-02-14;null;null;null;null;null;null;null;
2020-02-15;null;null;null;null;null;null;null;
2020-02-16;null;null;null;null;null;null;null;
2020-02-17;null;null;null;null;null;null;null;
2020-02-18;null;null;null;null;null;null;null;
2020-02-19;null;null;null;null;null;null;null;
2020-02-20;null;null;null;null;null;null;null;
2020-02-21;null;null;null;22.6;null;79;1;
2020-02-22;null;null;null;null;null;null;null;
2020-02-23;null;null;null;null;null;null;null;
2020-02-24;null;null;null;null;null;null;null;
2020-02-25;null;null;null;null;null;null;null;
2020-02-26;null;null;null;null;null;null;null;
2020-02-27;null;null;null;null;null;null;null;
2020-02-28;null;null;null;null;null;null;null;
2020-02-29;null;null;null;null;null;null;null;
2020-03-01;null;null;null;null;null;null;null;
2020-03-02;0;33.4;null;22.5;null;63;null;
2020-03-03;0;34.1;null;23;null;60;null;
2020-03-04;0;33;null;23.3;null;61;null;
2020-03-05;0;33.5;null;23.1;null;61;null;
2020-03-06;0;33.4;null;23.4;null;63;null;
2020-03-07;0;32.8;null;23.2;null;65;null;
2020-03-08;null;null;null;null;null;null;null;
2020-03-09;0;31.9;null;23.2;null;68;null;
2020-03-10;0;32.6;null;23.3;null;67;null;
2020-03-11;0;33.6;null;23.2;null;59;null;
2020-03-12;2.8;29.6;null;23;null;73;null;
2020-03-13;37.2;28.6;null;21.6;null;79;null;
2020-03-14;8.3;28.4;null;22.5;null;79;null;
2020-03-15;null;null;null;null;null;null;null;
2020-03-16;84.1;27.3;null;21.9;null;88;null;
