Nome: PALMAS
Codigo Estacao: 83033
Latitude: -10.14777777
Longitude: -48.31444444
Altitude: 267
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;31.5;26.4;24;83.5;73;1.6;
2020-01-02;2.6;30.4;25.3;23.4;89.8;84;1.5;
2020-01-03;13.8;30.7;25.5;22.4;90;84;2.2;
2020-01-04;7.4;28.8;23.9;22.4;94.3;90;.7;
2020-01-05;27;29;25.4;22;85.5;71;1.1;
2020-01-06;2.6;30.2;24.7;22;92;83;1.3;
2020-01-07;20.8;33.8;27.1;21.6;73.5;53;1.3;
2020-01-08;1.3;31.7;26.4;23.4;88.5;77;1.3;
2020-01-09;7.2;27.2;25.1;23.4;93.8;89;.4;
2020-01-10;54.7;34.3;28;21.9;76.5;58;.4;
2020-01-11;4.8;31;26.9;23.5;86.8;78;.7;
2020-01-12;14.8;33.8;27.1;23.1;81;68;1.2;
2020-01-13;2.6;34.1;28.1;22.3;77.3;67;1.1;
2020-01-14;2.4;35.6;27.3;22.1;67.5;50;.3;
2020-01-15;0;34.3;27;22.8;83.5;65;.4;
2020-01-16;12;35.2;28.8;23.5;71.3;55;.2;
2020-01-17;.8;34.2;28.5;24.7;74.5;53;.3;
2020-01-18;9;36.2;29.8;23.9;70.3;57;.5;
2020-01-19;0;34.2;26.4;23.7;78.3;57;.2;
2020-01-20;7.6;33.6;26.9;23;84.5;78;.3;
2020-01-21;3.2;34.2;28;23.3;67.5;48;.9;
2020-01-22;0;29;25.4;23.5;85.5;72;1;
2020-01-23;70.8;30.4;24.9;22.7;89.3;65;.6;
2020-01-24;30;26.8;24.8;22.1;93;88;1.1;
2020-01-25;5.2;32.6;27.3;23.9;82.8;63;.3;
2020-01-26;9.6;34.6;28.3;23.2;75.8;56;.7;
2020-01-27;65;30.5;25.4;23;90.3;75;.9;
2020-01-28;28;31.4;26.3;22.7;78;63;.8;
2020-01-29;0;31.8;27.2;23.5;80.5;65;.4;
2020-01-30;6.3;35.7;28.7;22.7;74;56;.5;
2020-01-31;6.7;36.3;29.1;23.4;67.5;49;.4;
2020-02-01;.3;33.2;27.6;24.9;79;59;.7;
2020-02-02;0;30.6;27.3;24.4;81;69;.8;
2020-02-03;2.6;31.4;26.1;22.3;81;74;.8;
2020-02-04;47.4;32.1;26.1;21.8;80;59;1.1;
2020-02-05;0;31;25.6;21.7;87.5;78;.8;
2020-02-06;9.4;32.2;26.8;22.6;74;61;1.5;
2020-02-07;5.7;27;24.8;23.3;90;75;.4;
2020-02-08;16.2;28.2;24.1;22.1;82.3;73;.8;
2020-02-09;8.7;30.8;25.9;21.6;82;66;.7;
2020-02-10;0;34;27.9;22.2;69.5;52;.4;
2020-02-11;0;35.5;29.4;24.3;66.5;53;.8;
2020-02-12;6.6;32.2;27.3;23;78.3;66;1.9;
2020-02-13;0;33.6;28.2;24.4;75;58;.9;
2020-02-14;11.6;36.8;29.3;24.4;67.8;46;.6;
2020-02-15;0;31;25.6;23.4;79;68;1.3;
2020-02-16;1.2;33.2;27.4;21.9;68;53;.7;
2020-02-17;25.6;32;27.5;22.9;78;61;.5;
2020-02-18;.4;31.2;26.5;23.9;83.5;68;.4;
2020-02-19;28.4;31.5;26;21.6;82.3;82;.5;
2020-02-20;3.4;26.7;24.6;23;91.5;80;.4;
2020-02-21;15.8;32;27.7;22.8;80;68;.3;
2020-02-22;2.3;32.6;27.6;23.5;76.3;55;.7;
2020-02-23;0;31.5;27.2;24.3;85.3;75;.3;
2020-02-24;0;33.8;28.6;23.1;69;64;2.6;
2020-02-25;2.9;32.2;26.8;23.9;83.3;64;.2;
2020-02-26;10.2;32.4;27.3;24.5;84;67;.2;
2020-02-27;0;33.8;28.5;23.6;75.5;64;.3;
2020-02-28;0;30.8;27.7;25.5;81;70;.6;
2020-02-29;18.2;33;27.6;24.3;75;55;1.1;
2020-03-01;0;35;28;23;74.8;52;.7;
2020-03-02;1.5;29.8;25.8;24.2;91.3;83;.5;
2020-03-03;2.3;31.6;25.7;23.3;88.8;70;1.9;
2020-03-04;19.7;27.5;24.9;23.4;93.5;90;.8;
2020-03-05;8.8;31.7;26.8;23.2;87.3;81;1.6;
2020-03-06;9.6;30.5;25.7;23.2;85.8;69;1.2;
2020-03-07;1.7;33.7;27.9;22.5;71.8;54;.8;
2020-03-08;.1;31.4;26.9;24.6;81.3;68;2.6;
2020-03-09;.2;31.9;27;24.2;83.5;70;2.2;
2020-03-10;3.8;33.1;26;23.6;87;68;4.1;
2020-03-11;8.8;33.5;26.9;22.7;80.3;65;.3;
2020-03-12;2.4;33.6;27;23;78.3;57;2.3;
2020-03-13;5;33.5;27.5;24.1;77;59;.7;
2020-03-14;1;32.4;26.9;23.5;82;73;.3;
2020-03-15;8.1;27.9;25.9;24.1;86.3;80;1;
2020-03-16;.8;32.3;26.2;23.2;82;67;.8;
2020-03-17;5.1;34.7;27.5;22.2;76;51;1.3;
2020-03-18;4.7;32.3;26.7;24;82.5;77;.7;
2020-03-19;9.1;27.5;25.1;23.7;93.3;87;1.4;
2020-03-20;20.9;28.8;24;20.7;87.8;73;1.7;
2020-03-21;1.6;31.7;26.2;22.6;76.8;62;2;
2020-03-22;7.6;34.3;27.7;22.4;72;51;1.6;
2020-03-23;0;32.3;27.6;23.1;77.3;67;.7;
2020-03-24;.3;29.6;25.8;24.5;88.8;76;.4;
2020-03-25;38.2;32;26.4;22.1;80.5;64;.3;
2020-03-26;0;30;24.9;23.1;92.8;86;.3;
2020-03-27;27.4;28.6;25.9;21.7;84.8;79;.3;
2020-03-28;1.4;34.8;28.5;23.5;72.5;49;.4;
2020-03-29;0;35.2;29.3;24.9;65.8;49;.5;
