Nome: ARACAJU
Codigo Estacao: 83096
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.68
Situacao: Fechada
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;29.5;26.9;23.5;63.5;null;2.3;
2020-01-02;0;30.8;27.5;23.7;56.5;null;2.5;
2020-01-03;0;31;27.8;24;59.8;null;2.5;
2020-01-04;0;31;27.7;24.1;57.3;null;2.5;
2020-01-05;0;30.8;27.4;23.9;57.3;null;2.5;
2020-01-06;0;30.2;27.2;24;66.8;null;2.5;
2020-01-07;0;30.8;27.9;23.9;62.5;null;3.6;
2020-01-08;0;30.6;27.6;24;55.8;null;3;
2020-01-09;0;30.7;27.5;24.1;59;null;2.3;
2020-01-10;0;31;28.2;24.2;58.8;null;4.1;
2020-01-11;0;31;28;24.1;60.5;null;3;
2020-01-12;0;null;28.3;24.2;58.5;null;3.6;
2020-01-13;0;31.7;28.4;24.2;60;null;2.8;
2020-01-14;0;31.6;28;23.7;53.3;null;2.5;
2020-01-15;0;32;28.1;24.3;54.5;null;2.5;
2020-01-16;0;31.6;28;24.3;56.5;null;2.5;
2020-01-17;0;31;27.4;24.3;57;null;2.5;
2020-01-18;0;32;28.3;24.3;54.8;null;2.5;
2020-01-19;6;30.6;27.2;23.7;63.3;null;2.3;
2020-01-20;0;31.2;28;24;61.5;null;3.8;
2020-01-21;0;31;28.1;24;62.3;null;4.7;
2020-01-22;0;31.2;28.6;24.1;59.5;null;4.4;
2020-01-23;0;29.7;27.6;23.9;66;null;3.3;
2020-01-24;3.5;29;27.2;23.6;67.8;null;3.6;
2020-01-25;0;31.9;28.1;24;63;null;4.4;
2020-01-26;0;31.4;28;23.9;62.8;null;3.3;
2020-01-27;0;31;27.9;24.1;66.3;null;3;
2020-01-28;0;31.5;28;24;62.5;null;2.7;
2020-01-29;2;32;28.5;24.2;59.5;null;1.6;
2020-01-30;0;32.1;26.1;22.4;77.8;55;2.5;
2020-01-31;3;31.9;28.2;23.9;60.3;56;2.2;
2020-02-01;0;29.6;27.2;23.8;64.8;null;2.7;
2020-02-02;0;31.5;28.4;24.1;57.5;null;3.6;
2020-02-03;0;32;28.6;24.2;58.5;null;2.5;
2020-02-04;18;29.9;27.1;23.2;64.8;null;2.8;
2020-02-05;13;30.4;27.9;24.1;61.5;null;2.7;
2020-02-06;25;29.7;26.6;22.8;68.3;null;2;
2020-02-07;2;30.9;27.9;24.1;63.8;null;3.3;
2020-02-08;5;31.7;28.5;24.2;59.8;null;3.6;
2020-02-09;0;32;28.2;24;62.8;null;3.1;
2020-02-10;0;32;28.4;23.7;65.8;null;3.3;
2020-02-11;7;30.8;28.2;24.3;58;null;3;
2020-02-12;0;31.8;28.3;24.2;58.8;null;2.5;
2020-02-13;3;31.1;28.2;24.2;61;null;1.6;
2020-02-14;0;31.5;28.6;24.4;62;null;3.6;
2020-02-15;0;31.4;28.4;24.3;60;null;2.5;
2020-02-16;9;31.3;28.2;24.3;61.5;null;1.9;
