Nome: SALVADOR (ONDINA)
Codigo Estacao: 83229
Latitude: -13.00583333
Longitude: -38.50583333
Altitude: 47.35
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;30.7;26.3;24.2;86.5;null;null;
2020-01-02;10.6;29.3;26.5;23.4;83;null;null;
2020-01-03;2;29;26.8;25.3;91;null;null;
2020-01-04;.4;30.7;27.5;25.5;82.8;null;null;
2020-01-05;1.6;31.3;27.4;25;83.3;null;null;
2020-01-06;0;30.8;27.4;25.1;79.8;null;null;
2020-01-07;0;30.8;27.5;25.5;77.8;null;null;
2020-01-08;0;31.5;27.4;24.6;71.3;null;null;
2020-01-09;0;30.2;26.8;23.7;72.8;null;null;
2020-01-10;0;30.2;26.8;24.5;81.5;null;null;
2020-01-11;0;31.5;27.9;25.4;77.5;null;null;
2020-01-12;0;31.8;27.9;24.5;79;null;null;
2020-01-13;0;32.2;27.8;25.1;78;null;null;
2020-01-14;0;31.2;27.6;24.3;76.8;null;null;
2020-01-15;0;31.7;28;25;73.3;null;null;
2020-01-16;1.3;32;27.5;24.4;74;null;null;
2020-01-17;.3;31;27.5;24.9;78.3;null;null;
2020-01-18;.3;31.8;27.9;24.8;72.5;null;null;
2020-01-19;1.7;31.4;27.6;24.3;77.3;null;null;
2020-01-20;0;32.1;28.1;24.9;72;null;null;
2020-01-21;0;31.2;27.7;24.8;75.8;null;null;
2020-01-22;0;27.4;25.1;23.6;94.8;null;null;
2020-01-23;53;26.8;24.9;23;95.8;null;null;
2020-01-24;17.5;29.8;26.8;24.1;86.3;null;null;
2020-01-25;1.2;31.9;27.9;25.7;85;null;null;
2020-01-26;0;29.2;25.9;23.7;93.5;null;null;
2020-01-27;10.6;31.6;27.2;23.7;85;null;null;
2020-01-28;0;31.4;28;25.8;80.3;null;null;
2020-01-29;0;30.8;27.8;25.8;78;null;null;
2020-01-30;0;31;27.6;25.5;79;70;null;
2020-01-31;1.1;29.3;27;24.7;82;78;null;
2020-02-01;0;30;27.3;25.1;85.5;null;null;
2020-02-02;0;31.9;28.3;25.6;79;null;null;
