Nome: CUIABA
Codigo Estacao: 83361
Latitude: -15.61999999
Longitude: -56.10888888
Altitude: 157.7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;34.5;null;null;78;null;null;
2020-01-02;0;34.9;29.4;25;74.8;null;null;
2020-01-03;0;32.6;28.5;25.4;82.8;null;null;
2020-01-04;11.8;34.3;28.7;24.1;79.3;null;null;
2020-01-05;0;35.6;29.2;25.4;71;null;2.1;
2020-01-06;0;33.2;29.3;25.7;73.8;null;null;
2020-01-07;6.4;34;29.7;25.2;70;null;null;
2020-01-08;4.2;32.8;27.3;24.1;87.8;null;.5;
2020-01-09;0;34.6;28.4;25;82.8;null;null;
2020-01-10;0;35.6;28.8;24.8;87.3;null;null;
2020-01-11;0;null;null;24.9;null;null;null;
2020-01-12;25.4;37.3;29.8;24.4;81.3;null;null;
2020-01-13;0;35;29.5;25.1;86.5;null;null;
2020-01-14;12.1;36.2;28.4;25;84.3;null;null;
2020-01-15;12.8;37.2;30.4;23.8;82;null;null;
2020-01-16;0;36.6;28.7;26.1;90.5;null;null;
2020-01-17;4;33.8;28.5;23.1;86.3;null;null;
2020-01-18;.6;36.2;28.3;23.6;84.5;null;null;
2020-01-19;0;37;28.2;24.2;84;null;null;
2020-01-20;0;36.2;29.7;25;82;null;null;
2020-01-21;0;37.1;31.4;25.8;79.5;null;null;
2020-01-22;0;33.8;28.3;26.4;88;null;null;
2020-01-23;53;33.1;27.7;23.8;90.8;84;0;
2020-01-24;20;34.1;28.6;24.2;83.8;94;null;
2020-01-25;0;35.4;29.9;24.8;84;null;null;
2020-01-26;0;36.5;30.3;26.2;82.3;null;null;
2020-01-27;0;36.2;31.2;27.2;83.8;null;null;
2020-01-28;0;36;30;25.8;81.3;null;null;
2020-01-29;0;31.8;28.6;25.8;85.5;null;null;
2020-01-30;0;35;28.9;25;77.5;null;null;
2020-01-31;6.2;36.2;31.9;23.9;73.3;null;null;
2020-02-01;0;33.1;27.6;23.3;89.8;null;null;
2020-02-02;12.8;36.4;29.3;23.5;84.5;null;null;
2020-02-03;0;36;28.7;24.7;85.3;null;null;
2020-02-04;24.8;34.2;28.8;24.3;77.8;null;null;
2020-02-05;0;36.3;29;26.1;84;null;null;
2020-02-06;0;29.3;26.7;23.8;89;null;null;
2020-02-07;8.1;34.3;27.8;24.8;84.5;null;null;
2020-02-08;null;32.1;null;23.4;null;null;null;
2020-02-09;null;31.5;26.8;23.9;93.3;98;null;
2020-02-10;null;30.9;26.9;23.1;87;null;null;
2020-02-11;0;34.1;27.1;24.8;88;null;null;
2020-02-12;null;32.2;26.4;23;87.8;null;null;
2020-02-13;11.1;34.9;28.2;23.8;78.3;null;null;
2020-02-14;0;34.5;28.6;24;85.3;null;null;
2020-02-15;0;36.2;27.9;24.4;87.3;null;null;
2020-02-16;53.2;35.7;29.2;24.8;85.8;null;null;
2020-02-17;0;34.2;29.3;26.4;89.5;null;null;
2020-02-18;3.2;34.5;28.6;25.5;87.5;null;null;
2020-02-19;0;33.6;28.3;24.9;87.8;null;null;
2020-02-20;0;31;27;24.1;88.8;null;null;
2020-02-21;null;32.9;27.3;24.1;89;null;null;
2020-02-22;null;31.9;26;23.8;91;null;null;
2020-02-23;null;31.3;25.2;22.6;91.8;null;null;
2020-02-24;null;32.2;27.3;23.1;90.5;null;null;
2020-02-25;0;33.9;null;25.1;86;85;null;
2020-02-26;0;34.3;28.1;24.8;86.5;null;null;
2020-02-27;null;31.1;26.7;23.1;89.8;null;null;
2020-02-28;1;32;27;24.8;94.5;null;null;
2020-02-29;2;31.3;27;25;93;null;null;
2020-03-01;8.4;34;28;24.1;82;null;null;
2020-03-02;0;34;27.3;21.2;81.8;null;null;
2020-03-03;0;34.4;27.9;21.9;75.5;null;null;
2020-03-04;0;34.2;27.6;21.8;84.3;null;null;
2020-03-05;0;35.8;29.4;22.8;75.3;72;null;
2020-03-06;0;37.5;29.1;23;80.3;73;null;
2020-03-07;0;36.4;28.9;22.9;83;null;null;
2020-03-08;0;37.2;29.5;23.1;78;null;null;
2020-03-09;0;36.8;29.9;23.8;74.5;null;null;
2020-03-10;0;36.6;30.3;25;76.3;null;null;
2020-03-11;0;37.2;30.1;25.2;77.8;null;null;
2020-03-12;0;35.2;29.4;25;78.5;null;0;
2020-03-13;0;37.2;31.1;25;74;null;null;
2020-03-14;0;38.1;28.9;24.8;80.8;null;null;
2020-03-15;4.7;36.6;29;24.2;81.3;null;null;
2020-03-16;0;35.6;30.3;25.1;73.3;null;null;
2020-03-17;0;35.3;29.7;24.2;79.3;null;null;
2020-03-18;0;35.4;29.8;25;81.3;null;null;
2020-03-19;0;36.2;29.4;25.1;85;null;null;
2020-03-20;5;29.5;24.4;22.1;93.5;null;null;
2020-03-21;27.1;31.9;26.1;22.1;88.5;null;null;
2020-03-22;2;34.2;28;24.4;82.8;null;null;
2020-03-23;0;35;27.8;25.1;88.8;null;null;
2020-03-24;16;35.1;27.5;24.2;80.5;null;null;
2020-03-25;21.6;35;29;24.1;81.8;null;null;
2020-03-26;0;34.1;28.4;25;83.8;null;null;
2020-03-27;0;35;27.7;24;82.3;null;null;
2020-03-28;0;33.4;28.8;25.2;80;null;null;
2020-03-29;0;35.6;29.3;25.2;77.5;null;null;
2020-03-30;0;35.8;28.6;23.9;85;null;null;
2020-03-31;0;36.3;28.1;24;89.3;null;null;
2020-04-01;9.8;35.6;28.4;23.9;85.8;null;null;
2020-04-02;3;36.9;29.7;24;78.3;null;null;
2020-04-03;0;31.7;27.7;25;85.5;null;null;
2020-04-04;12.4;32.8;27.4;24.6;85.5;null;null;
2020-04-05;0;37;29.1;23.8;82.5;null;null;
2020-04-06;0;37.3;30.1;25;79.5;null;null;
2020-04-07;10.6;33.4;28;24.9;82;null;null;
2020-04-08;.6;31.2;26.9;22.8;77.8;null;null;
2020-04-09;0;32.4;26.9;23;78.5;null;null;
2020-04-10;0;32.3;27.2;21.9;72.8;null;null;
2020-04-11;0;34.3;27.6;22;74.5;null;null;
2020-04-12;0;34.6;28.4;22.7;73;null;null;
2020-04-13;0;36.2;27.8;23;80;null;null;
2020-04-14;3;33.2;26.3;23.8;89.3;null;null;
2020-04-15;0;28.8;24.7;22.9;89.3;null;0;
2020-04-16;0;31.1;24.8;20;76.5;null;null;
2020-04-17;0;31.5;24.6;17.1;76.5;null;null;
2020-04-18;0;33.2;25.2;20.1;85;null;null;
2020-04-19;26.4;33.7;27.2;23.2;74.8;null;null;
2020-04-20;0;34.7;27.5;23;74.5;null;0;
2020-04-21;0;34;28.1;23.8;70.8;null;null;
2020-04-22;0;34.4;27.2;21.9;68;null;null;
2020-04-23;0;34.2;26.9;21;69.8;null;null;
2020-04-24;0;34.8;28.4;22.9;67.8;null;null;
2020-04-25;0;36.3;null;null;70;null;null;
2020-04-26;0;36;28;24;74;null;null;
2020-04-27;0;35.6;28;23;63;null;null;
2020-04-28;0;36;27.9;20.8;63.3;null;null;
2020-04-29;0;36.4;28.5;21.2;59.8;null;null;
2020-04-30;0;35.5;27.5;21.1;65.3;null;null;
2020-05-01;0;35.8;27.1;21.1;66;45;null;
2020-05-02;0;35.2;28.2;21;55.3;37;null;
2020-05-03;0;35;27.2;21.8;62.5;33;null;
2020-05-04;0;35.5;27.4;21;60.5;37;null;
2020-05-05;0;33.2;26.9;20.9;66.3;48;null;
2020-05-06;0;26.6;24.6;22;84.8;77;null;
2020-05-07;13.3;null;null;16.5;88.3;78;null;
2020-05-08;0;26.2;19.4;12.4;75.3;54;null;
2020-05-09;0;33;25.7;22;63.8;45;null;
2020-05-10;0;34.2;26.4;19.8;70.5;48;null;
2020-05-11;0;33.9;28.3;23;68.3;54;null;
2020-05-12;5;34.5;28;24.2;72;49;null;
2020-05-13;0;34.2;25.9;22;72.5;46;null;
2020-05-14;37.1;24.2;22.9;21.9;91;89;null;
2020-05-15;4.8;28.3;23.8;20.8;78.3;63;2.1;
2020-05-16;0;28.3;22.5;18.2;72.8;55;null;
2020-05-17;0;31.7;23.2;16.7;77.8;52;null;
2020-05-18;0;33.1;25.8;21.1;73.3;54;null;
2020-05-19;0;34.6;26.7;19.9;72.3;53;null;
2020-05-20;0;35.3;27.6;22;71.3;49;null;
2020-05-21;0;35.4;27.6;22.3;71.8;45;null;
2020-05-22;0;34.9;27.8;22;69.5;46;null;
2020-05-23;8;27.6;17.8;15;86.3;78;2.1;
2020-05-24;0;23.4;17.8;13.7;75;57;null;
2020-05-25;0;26.2;18.2;13.7;79.8;57;null;
