Nome: GOIANIA
Codigo Estacao: 83423
Latitude: -16.67305554
Longitude: -49.26388888
Altitude: 748.53
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;32.8;25.7;20.9;70.3;46;.9;
2020-01-02;1.1;30;25.8;21.7;68;55;1.7;
2020-01-03;.5;31.4;25.6;20.9;69.8;53;1.2;
2020-01-04;0;26.3;23;20.9;89.5;74;.8;
2020-01-05;49.6;27.4;23;19.8;87;76;1.1;
2020-01-06;15.6;30.1;24.3;19.4;78;62;1.3;
2020-01-07;.3;31.2;24.5;20.7;78.8;62;1.6;
2020-01-08;11.5;32.2;26.3;20.8;65;47;1.6;
2020-01-09;4.2;29.4;24.7;20.7;72.8;61;1.5;
2020-01-10;7.1;33.7;27.7;20;56.5;43;1;
2020-01-11;6.2;34.2;27.3;22.3;64.8;47;.7;
2020-01-12;0;35.3;28.4;20.8;54.3;34;.6;
2020-01-13;0;35.6;27.6;22.7;61.3;35;1.1;
2020-01-14;0;35.2;26.7;20.6;62;40;.8;
2020-01-15;3.6;35.9;29.1;21.7;53.8;34;.9;
2020-01-16;0;35.4;28.5;23;56.8;39;.9;
2020-01-17;1.1;29.5;24.7;23.1;78;63;2.4;
2020-01-18;0;33.7;25.9;20.9;69.5;47;.9;
2020-01-19;4.7;34;26.4;20.3;69;50;.3;
2020-01-20;11.1;31.7;26.1;20.5;69.8;53;.9;
2020-01-21;18.1;31.9;24.8;20.3;88.8;70;1;
2020-01-22;16.4;28.2;24.1;21.7;85.5;74;1.5;
2020-01-23;10.5;27.8;23.3;20.1;90.3;87;1.1;
2020-01-24;47.2;28.9;23.6;20.6;85.8;67;1.4;
2020-01-25;4.4;27.5;23;20.1;89.5;85;1.2;
2020-01-26;27.8;29.2;23.1;19.9;86.5;63;.6;
2020-01-27;63.3;28.8;23.5;20.1;87.8;83;.5;
2020-01-28;20.9;28.5;23.9;19.8;77;66;1.8;
2020-01-29;.3;30.6;24.5;20;76;64;1.2;
2020-01-30;2.1;32.5;25.6;20.5;75;73;.5;
2020-01-31;1.6;32.8;26.7;21.1;67.3;53;.7;
2020-02-01;0;34.1;27.2;22.4;63.5;45;.6;
2020-02-02;0;33.7;26.5;22.7;67.5;59;1.4;
2020-02-03;0;33.2;26.8;21.2;61.5;53;1.3;
2020-02-04;11.2;33.7;25.4;20;71.3;55;.9;
2020-02-05;0;29.8;24.5;21.2;77.8;58;1.3;
2020-02-06;18.2;30;23.6;19.9;83;60;1.7;
2020-02-07;44;26.6;23;20;80;69;1.5;
2020-02-08;34.4;24;21.5;19.3;87;79;1.4;
2020-02-09;4.6;24.2;21.8;19;85;81;1.5;
2020-02-10;1.2;28.9;23.8;19.3;73.3;56;.9;
2020-02-11;1.8;32.5;26.5;20.5;65.3;53;.2;
2020-02-12;0;32.3;25.5;21.9;84.3;66;1.7;
2020-02-13;16.3;30.2;25;20.3;72.8;55;.9;
2020-02-14;1.7;33.3;25.7;20;71;48;1.4;
2020-02-15;20;33.1;26.3;19.8;66.5;45;.9;
2020-02-16;12.3;30.3;24.5;19.9;82;76;.9;
2020-02-17;8.6;31;25.6;20.8;80.3;70;1.1;
2020-02-18;7.3;30.9;25.7;21.7;75.3;69;1.7;
2020-02-19;0;32.8;25.6;22;67.8;45;1;
2020-02-20;2.3;31.9;24.8;20.3;83;72;1.3;
2020-02-21;3.4;31.3;25.5;20.6;69.8;49;.9;
2020-02-22;1.9;30.5;23.8;21.1;85.3;72;.8;
2020-02-23;67.5;32.5;24.7;19.7;79.5;51;.3;
2020-02-24;23.6;26;22.9;21;86.3;81;.4;
2020-02-25;1.2;33.1;26.1;20.6;68.8;55;.7;
2020-02-26;6.5;32.4;25;21.1;74.5;48;1.4;
2020-02-27;4.7;29.6;23.8;20.5;88;80;.6;
2020-02-28;29.7;29.7;23.5;20;88.5;82;.2;
2020-02-29;4.2;27.7;22.9;19.6;83.8;71;.8;
2020-03-01;3.6;29;24.2;19.9;78.3;78;.9;
2020-03-02;6.1;29.4;23.4;20.6;85.3;64;.9;
2020-03-03;23;29.9;23.5;20.1;80;68;1.5;
2020-03-04;20.5;30;23.6;18.8;79.3;61;.7;
2020-03-05;9.4;31;24;19.8;83.3;66;.6;
2020-03-06;24.1;27.3;23.8;19.9;75;71;1.1;
2020-03-07;0;29.7;24.3;20;72.3;53;.8;
2020-03-08;0;31.7;25.7;20.2;70.3;67;.2;
2020-03-09;2.3;32.2;26.2;20;53.8;35;.4;
2020-03-10;0;32.7;26.7;20.3;59.5;42;1.3;
2020-03-11;0;32.9;27.3;23.2;60;41;.8;
2020-03-12;0;32.9;26.2;22.4;67.5;45;1.1;
2020-03-13;0;33.1;25.9;21.1;67.8;52;1.5;
2020-03-14;10;32.9;26.2;21.3;66.8;45;1;
2020-03-15;.5;32.7;25.9;21.6;66;45;1;
2020-03-16;0;33.3;26.2;20;61.5;39;.8;
2020-03-17;0;34.1;26.7;20;57.5;37;.7;
2020-03-18;0;33.2;26.7;21.8;65;47;.5;
2020-03-19;.7;33.6;26.8;22;66.5;48;1.5;
2020-03-20;6.9;26.8;23.2;20.9;81.3;70;1.3;
2020-03-21;0;30.9;25;20.4;71;58;1.6;
2020-03-22;0;29.6;24.8;21.4;76.3;73;.3;
2020-03-23;0;32.9;25.3;21;73;50;.6;
2020-03-24;16.2;31.6;25.3;21.1;68.8;49;1;
2020-03-25;.2;26.9;23;21.7;84.5;71;1.3;
2020-03-26;22.6;31.3;24.9;19.5;69.5;53;1.1;
2020-03-27;.3;29.4;24;21.3;81;67;1.4;
2020-03-28;3.7;29.6;24.2;21;79.8;69;1;
2020-03-29;1.5;32.9;26.2;20.3;62.5;46;1;
2020-03-30;0;33;26.6;20.9;56.3;38;1;
2020-03-31;0;33.2;26.6;20.9;55.8;35;.7;
2020-04-01;0;34.1;27.1;20.2;55;33;.5;
2020-04-02;0;34.2;27.1;20.7;62;41;.7;
2020-04-03;0;32;26.4;20.5;67;54;1.8;
2020-04-04;0;31.8;26.9;22;66.5;57;.9;
2020-04-05;0;32.8;27.9;23;62.8;52;1.7;
2020-04-06;0;34.4;25.5;21.7;71.8;44;1.1;
2020-04-07;35.9;30.8;25.1;21;84.8;73;.3;
2020-04-08;17.6;31.3;25.7;21.9;72.8;54;.4;
2020-04-09;0;32.3;26.4;21;58;45;1.9;
2020-04-10;0;32.4;26.1;19.7;52.8;41;.7;
2020-04-11;0;33.5;26.4;19;53.8;40;.5;
2020-04-12;0;31.9;24.9;20.1;75.8;53;.9;
2020-04-13;3.1;32.1;26;20;63.5;51;1.1;
2020-04-14;.3;27.1;22.8;20.5;77;69;.9;
2020-04-15;5;26.6;22.1;17.8;77.5;67;.7;
2020-04-16;0;28;22.9;19.9;82.5;65;.6;
2020-04-17;15.2;29;23.2;20.4;83;60;.8;
2020-04-18;11.2;27.2;22.7;20.6;87.8;74;.6;
2020-04-19;35.3;29.6;23.2;19.8;82.5;56;1.7;
2020-04-20;19.7;27.9;22.6;19.8;85.8;72;.7;
2020-04-21;5.1;28.3;23.1;19.9;83;75;.6;
2020-04-22;4.3;29.3;23;19.3;81;58;.6;
2020-04-23;4.2;30.6;24;19.5;72.5;48;.9;
2020-04-24;.3;30.9;25.3;20.3;67.8;49;1.1;
2020-04-25;0;30.3;25.2;21.4;60.8;48;1;
2020-04-26;0;29.6;23.9;18;58;48;1.7;
2020-04-27;0;30.8;24.2;18.1;55.8;39;1.5;
2020-04-28;0;30;24;18.4;55.3;40;1.5;
2020-04-29;0;29.6;24.2;18.5;54;41;1.1;
2020-04-30;0;30.6;23.7;16.9;55.8;38;.4;
2020-05-01;0;30.5;23.3;17.1;57.3;37;.6;
2020-05-02;0;30.5;23.8;16.2;51;35;.9;
2020-05-03;0;31.3;23.2;15.8;51;26;.9;
2020-05-04;0;31.1;22.7;15.4;56.3;29;.7;
2020-05-05;0;31.5;23.4;15.3;59.8;34;.9;
2020-05-06;0;30.1;23.2;17.9;69.3;45;.3;
2020-05-07;1.7;25.7;21.9;19.1;73.3;66;.6;
2020-05-08;0;28.6;22.4;16.8;62.8;51;1.4;
2020-05-09;0;29.1;22.4;16.4;61;42;1.5;
2020-05-10;0;30.2;23.3;17.5;57;40;1;
2020-05-11;0;29.8;23.7;17.6;54.8;43;.8;
2020-05-12;0;30;22.9;16.6;53;30;.7;
2020-05-13;0;30.5;23.1;16.4;60.3;41;1;
2020-05-14;0;30;23;17;71;60;1.5;
2020-05-15;0;29.4;24.5;18.9;66.3;54;1.2;
2020-05-16;0;29.4;24.5;20.1;67.8;61;.9;
2020-05-17;0;29;23.4;18.1;65;53;1.5;
2020-05-18;0;30.8;23.8;17;59.3;43;.9;
2020-05-19;0;29.5;24;18.3;52;43;1.8;
2020-05-20;0;29.3;23.5;20;65.3;50;1.1;
2020-05-21;0;30.9;24;17.6;59.3;42;.7;
2020-05-22;0;32.1;24.5;18.7;62.8;41;.9;
2020-05-23;0;28.6;23.1;19;81.8;72;.9;
2020-05-24;19;22.4;18.1;15.7;82;76;1;
2020-05-25;0;27.7;20.1;14.2;73.5;52;1.3;
2020-05-26;0;25.9;18.1;13.3;57.5;31;.6;
2020-05-27;0;27.1;18;9.2;52;31;1.2;
2020-05-28;0;29.9;20.4;10.5;52;35;.7;
2020-05-29;0;29.7;20.7;12.9;47;24;.5;
2020-05-30;0;28.9;21.1;14.6;52.5;30;1.3;
2020-05-31;0;29;20.6;12.7;52.5;31;.4;
2020-06-01;0;29.7;20.3;11;56;31;.2;
2020-06-02;0;29.7;20.7;13;54.3;31;.8;
2020-06-03;0;32.1;23.1;13.7;60;41;.4;
2020-06-04;0;31.8;24.4;17.6;60;41;1;
2020-06-05;0;32.1;25.1;16.9;57.3;42;.7;
2020-06-06;0;31.8;24.9;19.3;62.5;46;.3;
