Nome: BELO HORIZONTE
Codigo Estacao: 83587
Latitude: -19.93444444
Longitude: -43.95222222
Altitude: 915.47
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;31.1;25.4;19.8;58.5;48;.7;
2020-01-02;75;28.2;22.3;18.2;87.3;63;1;
2020-01-03;25.6;26;22.4;19.6;90.3;87;.7;
2020-01-04;83.3;25.4;22.2;18.5;86.3;81;.8;
2020-01-05;13.2;28.5;23.1;19.1;81.5;68;1.5;
2020-01-06;0;29.1;24.3;19.8;74;64;.4;
2020-01-07;0;31.1;23.7;20.2;80.5;53;1.6;
2020-01-08;47.5;31.6;24.8;20;72.5;65;.8;
2020-01-09;6.6;32.5;25.6;20.9;70.8;50;.6;
2020-01-10;4.1;33.5;27;21.1;63;43;1;
2020-01-11;0;32.8;27.3;21.4;54.8;46;1.1;
2020-01-12;0;33.8;28.1;22.6;48.3;40;1;
2020-01-13;0;33.7;27.1;22.1;54.8;36;1.2;
2020-01-14;16.8;31.8;24.7;20.4;69.8;49;1.2;
2020-01-15;21.6;31.5;25.4;20.7;67.3;51;1.3;
2020-01-16;45;32.1;25.8;19.2;65.3;46;1.2;
2020-01-17;72.5;28.4;22.7;19.2;83.3;62;1.2;
2020-01-18;14;27.3;23.2;19.2;73;66;2.1;
2020-01-19;0;29.3;23.7;20;76.8;58;1.1;
2020-01-20;48.4;28.3;22.4;18.9;79.5;60;.7;
2020-01-21;12.5;27.8;22.8;18.8;78.3;79;1.3;
2020-01-22;0;27.4;23.4;18.4;69.8;62;1.1;
2020-01-23;8.4;24;21.1;18.7;94.5;76;1.2;
2020-01-24;171.8;23.6;20.4;18.5;94.3;90;1.5;
2020-01-25;140.7;28.1;21.9;18.2;82.8;58;1.5;
2020-01-26;2.2;27.9;23.7;18.8;69.5;61;1;
2020-01-27;0;28.8;23.5;19.9;81.8;68;1;
2020-01-28;5.2;31.9;23;18.5;77;52;1.5;
2020-01-29;117.4;26;22.3;18;83.5;79;.7;
2020-01-30;2.9;31.4;25.8;20.1;64;47;.8;
2020-01-31;0;32.1;26.6;21.5;69;62;.2;
2020-02-01;29.6;31.2;25.4;19.2;80.8;72;1;
2020-02-02;21.4;32.4;25.1;19.2;63.8;44;1.1;
2020-02-03;33.8;31.8;25.9;20;55;42;1.4;
2020-02-04;0;31.3;25.7;20.2;60.3;44;1.1;
2020-02-05;36.1;26.8;22.3;18.3;79.3;65;.8;
2020-02-06;6.1;25.8;20.5;17;86.5;78;1.5;
2020-02-07;65.3;27.7;22.8;16.9;66.5;52;1.7;
2020-02-08;0;28;22;18.2;77.5;55;1;
2020-02-09;10.2;26.7;22.5;17.6;76;76;.6;
2020-02-10;1.1;30;25;19.7;63;48;2.1;
2020-02-11;6;27.2;22.5;19.2;88.8;64;.6;
2020-02-12;37.1;25.7;21.6;18.4;84.8;74;1.1;
2020-02-13;0;23.9;20.8;18.3;84;70;1.4;
2020-02-14;7.3;29.6;23.5;17.4;67.5;49;1.5;
2020-02-15;1.8;30.5;24.6;19.7;73.3;53;1.2;
