Nome: VITORIA
Codigo Estacao: 83648
Latitude: -20.31583333
Longitude: -40.31694443
Altitude: 36.2
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;30.9;27.1;23.6;72.3;63;null;
2020-01-02;0;34.9;27.5;23.3;78;64;null;
2020-01-03;6.4;32.3;26.3;23.6;86;76;null;
2020-01-04;103.1;29.7;26.5;23.5;83.3;84;null;
2020-01-05;.2;34.5;28.3;24.6;81.8;69;null;
2020-01-06;5;32.3;27.9;25.3;86.3;78;null;
2020-01-07;0;33.6;28.6;25.8;75;73;null;
2020-01-08;0;34;28.9;26.1;70.8;65;null;
2020-01-09;0;32.7;27.9;24.8;66.5;58;null;
2020-01-10;0;34.1;27.9;24.6;66;56;null;
2020-01-11;0;34.9;28.8;24.8;63;55;null;
2020-01-12;0;36.2;29.7;25.2;69.3;56;null;
2020-01-13;0;32.7;28.1;25.8;78;67;null;
2020-01-14;0;28.5;26.6;25.2;69.8;65;null;
2020-01-15;0;30.9;27.1;24.4;76.3;65;null;
2020-01-16;2.2;35.6;29.4;25;68.5;63;null;
2020-01-17;0;32.7;28.7;26.4;72.8;61;null;
2020-01-18;1.3;28.9;25.8;23.8;75.3;64;null;
2020-01-19;0;29.3;26.2;23.8;71.5;62;null;
2020-01-20;0;29;25;22.4;78.8;64;null;
2020-01-21;11.8;26.9;23.4;21.8;91;83;null;
2020-01-22;30.3;29.5;25.3;21.8;84.8;79;null;
2020-01-23;35.4;28.5;25.1;22.6;87.5;76;null;
2020-01-24;6.4;26.3;24.9;23.9;91.3;87;null;
2020-01-25;36.2;25.7;23.1;21.8;95.8;93;null;
2020-01-26;14.4;29;24.8;21.8;86.8;77;null;
2020-01-27;0;29.3;25.8;23.4;88.3;80;null;
2020-01-28;15.5;33.9;27.7;23.6;81.8;76;null;
2020-01-29;0;32.9;28.5;26;78.3;67;null;
2020-01-30;0;33.2;28.3;25.8;70.8;60;null;
2020-01-31;0;34.9;28.8;25.4;71.5;59;null;
2020-02-01;0;35.1;29;25.6;67.5;56;null;
2020-02-02;0;34;29;26.4;75;64;null;
2020-02-03;0;33.5;28.4;25.4;72.3;63;null;
2020-02-04;0;33.1;28.3;25.4;72.5;63;null;
2020-02-05;0;32.7;28.1;25.8;77.8;67;null;
2020-02-06;6.8;30.9;26.7;24.8;84.8;74;null;
2020-02-07;.1;29.4;26.3;24.6;85.5;73;null;
2020-02-08;3.8;31.3;27;23.8;76.8;64;null;
2020-02-09;0;35.3;29.7;25.2;66.5;59;null;
2020-02-10;0;35.4;29.1;25.4;74;53;null;
2020-02-11;1;29.4;25.6;23.2;90.8;83;null;
2020-02-12;8;28.3;24.9;23.2;89;86;null;
2020-02-13;2.2;28.9;26.1;24;82.3;78;null;
