Nome: FLORIANOPOLIS
Codigo Estacao: 83897
Latitude: -27.6025
Longitude: -48.62027777
Altitude: 4.64
Situacao: Fechada
Data Inicial: 2020-01-01
Data Final: 2020-03-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;0;34.6;27.7;25.4;84;77;.5;
2020-01-02;6.4;30.6;25.7;23.1;81;84;4;
2020-01-03;2.3;27.9;24.2;21.6;84;79;2;
2020-01-04;9.4;27.3;24.6;22.3;79;81;1.5;
2020-01-05;null;null;null;null;null;78;null;
2020-01-06;null;32.6;27.8;25.8;80;72;.5;
2020-01-07;0;35.8;27.8;23;78;77;1;
2020-01-08;22.6;30.2;26;23.7;89;79;.5;
2020-01-09;2;34.7;28.1;23.3;81;85;.5;
2020-01-10;0;32;27.8;25.3;86;79;.5;
2020-01-11;30.9;32;26.7;22.9;79;87;0;
2020-01-12;null;null;null;null;null;75;null;
2020-01-13;null;30.8;24.6;20.2;79;86;.5;
2020-01-14;.2;31.3;26.1;22.8;76;76;.5;
2020-01-15;0;32.4;26.6;22;77;68;.5;
2020-01-16;.7;30.4;25.2;23.4;67;75;1.5;
2020-01-17;.1;27.9;22.7;19.8;66;51;1;
2020-01-18;0;28.4;23.1;18;71;66;.5;
2020-01-19;null;null;null;null;null;67;null;
2020-01-20;null;31.6;26.3;23.5;78;83;.5;
2020-01-21;0;30.6;25;18.6;67;76;1;
2020-01-22;1.4;26.2;22;20.5;94;60;.5;
2020-01-23;16.6;24.8;22;19.4;91;93;1.5;
2020-01-24;19.7;28.2;23.3;18.8;82;87;2;
2020-01-25;.4;30.5;23.6;16.5;73;78;.5;
2020-01-26;null;null;null;null;null;61;null;
2020-01-27;null;32;25.1;22.8;91;91;0;
2020-01-28;6.3;30.6;25.1;21;84;91;0;
2020-01-29;0;29.9;25;22.6;92;81;0;
2020-01-30;8.7;33.8;25.8;22.8;90;92;.5;
2020-01-31;.8;30.8;26.6;22.6;80;85;0;
2020-02-01;0;30;25.8;21.4;75;73;.5;
2020-02-02;null;null;null;null;null;76;null;
2020-02-03;null;30.7;25.6;23;82;89;5.5;
2020-02-04;.8;26;23.7;21;87;79;0;
2020-02-05;59.4;28.4;25.1;22.2;88;84;1;
2020-02-06;15.9;26.4;24.3;23;97;84;0;
2020-02-07;49.7;30.9;25.8;22.8;90;97;0;
2020-02-08;17.9;31.4;26.9;23.6;85;87;1;
2020-02-09;null;null;null;null;null;82;null;
2020-02-10;null;26.2;23.8;22.6;67;70;1;
2020-02-11;0;29.1;23.7;18.5;68;66;.5;
2020-02-12;2.7;28.3;22.1;19;86;62;1;
2020-02-13;.9;29;23.2;17.2;74;85;1;
2020-02-14;.1;30.8;25.1;19.4;79;66;.5;
2020-02-15;0;33;26.6;21;80;78;.5;
2020-02-16;null;null;null;null;null;81;null;
2020-02-17;null;33;27.7;25.4;82;86;1;
2020-02-18;0;33.8;28.1;24;86;80;0;
2020-02-19;.8;31.1;26.9;25.2;85;84;.5;
2020-02-20;1;31.9;26.6;23.5;85;85;.5;
2020-02-21;0;26.8;23.2;21.4;70;69;3;
2020-02-22;0;26.2;21.8;17.9;72;71;1.5;
2020-02-23;null;null;null;null;null;71;null;
2020-02-24;null;29.6;24.9;21.2;73;80;.5;
2020-02-25;.4;28.8;25.2;22;86;69;0;
2020-02-26;14.7;26.6;23.1;20.8;68;84;.5;
2020-02-27;14.2;27.4;22.3;16.3;68;54;.5;
2020-02-28;0;29.5;24.9;17.2;66;69;0;
2020-02-29;0;29.3;24;18.6;72;62;.5;
2020-03-01;null;null;null;null;null;70;null;

