Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;1.3;34.4;27.4;24.4;72.8;59;2.7;
2020-01-02;.7;27.8;23.9;21.6;73.3;67;4;
2020-01-03;.8;27.9;23.3;19.6;71;57;3.8;
2020-01-04;.1;29.1;23.9;20.5;71.5;56;3.4;
2020-01-05;.1;32.6;25.7;19.5;65;46;2.3;
2020-01-06;0;36.2;28.4;21.2;61;44;3.5;
2020-01-07;.1;31.6;26.2;23.2;67.3;58;2.4;
2020-01-08;0;31.7;25.6;20.5;62.8;49;2.5;
2020-01-09;0;37.7;28.9;21.4;65.3;38;1.2;
2020-01-10;.6;36.8;27.1;22.6;76.8;51;2.2;
2020-01-11;17.3;31.8;26.5;22.1;77.8;59;1.6;
2020-01-12;3.2;32.7;27;22.3;57.8;43;1.6;
2020-01-13;0;31.6;24.9;20.6;68.3;53;2.9;
2020-01-14;0;35;26.9;20;66.3;48;2.1;
2020-01-15;0;35;27.6;23.8;73;51;3.6;
2020-01-16;17.8;25.4;21.8;20.3;64.3;45;3;
2020-01-17;0;27.1;20.9;14.3;62;46;1.7;
2020-01-18;0;30.8;23.3;16.5;66;48;2;
2020-01-19;0;34.4;25.9;19.1;67;53;1.4;
2020-01-20;0;35.6;27.5;21.7;67.5;51;2.4;
2020-01-21;0;31;24.9;22;81.5;62;2.1;
2020-01-22;6.3;29.4;24;21.6;75;54;3;
2020-01-23;0;28.2;23.7;20.6;74.3;67;3.4;
2020-01-24;1.4;30.4;24.3;18.9;70;57;3.1;
2020-01-25;0;32;25.5;17.9;57;41;1.9;
2020-01-26;0;34.1;27.5;21.8;65.3;44;1.7;
2020-01-27;0;33.2;26.4;24.1;82;75;2;
2020-01-28;14.8;30.6;24.8;20.6;73;57;2.8;
2020-01-29;0;27.5;24.8;22.1;81.5;77;1.1;
2020-01-30;2;28.5;25.7;22.5;79.8;71;1.8;
2020-01-31;6.3;30.3;24.7;22.1;82.5;68;1.8;
2020-02-01;2.2;30.1;24.7;20.6;71.8;61;2.2;
2020-02-02;0;33;25.7;20;71.3;57;2.8;
2020-02-03;.2;31.4;25.6;22.2;73.3;56;3.1;
2020-02-04;0;33;26.2;21.8;71;50;2.7;
2020-02-05;0;35.4;27.6;22.7;74;63;3.4;
2020-02-06;0;36.8;28.2;22.5;69.3;47;2.4;
2020-02-07;0;35;28.5;24.1;66.5;40;2.1;
2020-02-08;0;36.4;28;24;74.5;46;1.5;
2020-02-09;30.4;27.8;24;22.8;72.5;63;3.1;
2020-02-10;0;27.3;22.1;18.1;73.8;62;2.1;
2020-02-11;0;27.9;22.7;18;69.8;61;3.2;
2020-02-12;0;29.5;23.6;19.1;71.8;58;3;
2020-02-13;0;32.7;25.1;19.2;61;41;2.5;
2020-02-14;0;30.8;26.1;19.9;62.8;48;1.9;
2020-02-15;.2;35.4;28.5;23.6;62.8;42;2;
2020-02-16;0;37.4;29.7;24;61.5;43;1.7;
2020-02-17;0;37.8;29.5;24.4;65;47;1.9;
2020-02-18;.6;34;27.8;24.6;79;60;2.6;
2020-02-19;9;32.4;25.9;22.3;66;50;2.2;
2020-02-20;0;30.5;24.1;19.9;67.3;49;2;
2020-02-21;0;26.5;21.1;18.4;57.8;43;2.6;
2020-02-22;0;25.4;19.4;14.7;62.8;46;1.9;
2020-02-23;0;28;21.4;15.6;67.5;48;2.7;
2020-02-24;0;34.5;24.3;17.3;77.3;62;2.1;
2020-02-25;1.5;34;25.4;21.7;77.3;48;2.2;
2020-02-26;40.6;26;21.5;20;70.5;54;2.3;
2020-02-27;0;27.9;21.1;15.3;64.8;54;1.8;
2020-02-28;0;30.6;22.3;15.6;64.8;44;1.1;
2020-02-29;0;30.6;22.8;16.2;69.5;47;2.2;
2020-03-01;0;30.8;23.6;17.8;68.3;46;2.3;
2020-03-02;0;29.2;23.8;20.1;65.8;50;2.6;
2020-03-03;0;30;23.4;18.4;69.8;52;2.3;
2020-03-04;0;29.7;23.2;18.5;67.3;49;2.3;
2020-03-05;0;28.8;22.7;17.4;67;50;2.8;
2020-03-06;0;29.8;23.1;18.5;70.5;55;2.6;
2020-03-07;0;31.3;23.7;18.1;71;49;2.5;
2020-03-08;0;34.9;26.2;19.2;59.8;39;2.1;
2020-03-09;0;36;27.7;20.2;54.8;36;1.3;
2020-03-10;0;31.7;25.9;21.3;72;55;2.7;
2020-03-11;0;32.6;25.2;20.8;74.3;49;2.3;
2020-03-12;0;37.4;28.6;20.7;59.8;41;1.7;
2020-03-13;0;35.3;27.4;23.6;75.8;57;2.5;
2020-03-14;0;38.4;28.9;21.7;58.5;33;1.5;
2020-03-15;0;30;26;24;81.5;59;2.5;
2020-03-16;1;24.8;21.3;20;93.3;85;2;
2020-03-17;5.8;27.4;22.6;18.3;80.5;67;2.7;
2020-03-18;1;28.9;24.4;20.9;84;69;1.1;
2020-03-19;10.2;30.3;25.6;22.6;64.8;52;2.6;
2020-03-20;0;27.2;21.6;18;78.3;53;1.5;
2020-03-21;4.2;28.6;22.1;17.4;77;59;1.9;
2020-03-22;0;30.3;23.3;17.8;74.5;54;2.3;
2020-03-23;0;31.4;24.2;19.3;69.8;50;2.5;
2020-03-24;0;31.3;23.4;17.9;68.8;45;2.4;
2020-03-25;0;32.2;24;17.7;64.8;39;1.7;
2020-03-26;0;31.2;23.6;17.7;72.8;52;2.2;
2020-03-27;0;31.5;24.4;20.1;72;51;1.9;
2020-03-28;0;32.5;25.1;21.1;66.5;44;1.5;
2020-03-29;.7;30.9;25.6;22.2;74.3;55;1.4;
2020-03-30;0;34.5;26.1;20.5;65.8;38;1.9;
2020-03-31;0;31.6;25.6;21.9;75.5;60;2.5;
2020-04-01;0;29.4;24.8;21.8;78;64;2.9;
2020-04-02;8.6;27.8;23;21.1;67.3;72;2.9;
2020-04-03;0;24.1;19.3;15.7;70;55;2.9;
2020-04-04;0;26.1;19.6;15.1;69;42;1.9;
2020-04-05;0;30.1;21.4;14.5;71.3;42;1.5;
