,Data Medida,Precipitacao Total (mm),Temperatura Maxima (°C),Temperatura Media (°C),Temperatura Minima (°C),Umidade Relativa Media (%),Umidade Relativa Minima (%),Velocidade dos Ventos Media (m/s),Cidade
0,2020-01-01,0.0,34.6,27.4,23.5,68.8,57.0,1.3,BOA VISTA
1,2020-01-02,0.0,34.1,27.4,22.9,64.3,58.0,2.3,BOA VISTA
2,2020-01-03,0.0,34.1,27.6,22.9,64.8,52.0,2.3,BOA VISTA
3,2020-01-04,0.0,35.6,28.2,22.3,64.0,43.0,3.0,BOA VISTA
4,2020-01-05,0.0,34.6,28.4,23.7,64.5,50.0,1.7,BOA VISTA
5,2020-01-06,0.0,35.1,28.6,24.4,60.5,45.0,2.0,BOA VISTA
6,2020-01-07,0.0,35.5,28.3,22.8,65.0,50.0,2.0,BOA VISTA
7,2020-01-08,0.0,35.7,29.5,25.6,62.0,49.0,2.7,BOA VISTA
8,2020-01-09,0.0,35.0,28.6,25.2,67.3,49.0,1.3,BOA VISTA
9,2020-01-10,0.0,34.3,28.2,25.0,65.0,51.0,3.0,BOA VISTA
10,2020-01-11,0.0,34.2,27.8,23.6,65.3,51.0,2.3,BOA VISTA
11,2020-01-12,0.0,34.4,27.6,23.0,62.5,46.0,2.0,BOA VISTA
12,2020-01-13,0.0,34.7,28.3,23.9,61.0,46.0,1.7,BOA VISTA
13,2020-01-14,0.0,36.6,29.5,25.4,69.0,53.0,0.0,BOA VISTA
14,2020-01-15,0.0,35.6,28.9,24.8,68.5,52.0,1.0,BOA VISTA
15,2020-01-16,4.8,30.1,25.9,23.6,88.3,69.0,0.0,BOA VISTA
16,2020-01-17,0.4,35.1,27.9,22.8,75.8,53.0,1.7,BOA VISTA
17,2020-01-18,0.0,34.5,28.8,25.1,66.3,52.0,1.3,BOA VISTA
18,2020-01-19,0.0,34.7,28.6,25.4,69.0,52.0,2.0,BOA VISTA
19,2020-01-20,0.0,36.0,29.2,25.2,62.5,45.0,2.0,BOA VISTA
20,2020-01-21,0.0,35.1,29.1,26.0,65.3,50.0,1.3,BOA VISTA
